,titles,authors,ratings,num_ratings,id,description,pages,genre,format
13,"Fruits Basket, Vol. 1",Natsuki Takaya,4.24,"137,232 ratings",271199,A family with an ancient curse...  And the girl who will change their lives forever...  Tohru Honda was an orphan with no place to go until the mysterious Sohma family offered her a place to call home. Now her ordinary high school life is turned upside down as she's introduced to the Sohma's world of magical curses and family s,216 pages,"{'Fantasy', 'Romance', 'Manga', 'Young Adult', 'Sequential Art', 'Graphic Novels', 'Comics'}",
14,The Girl Who Loved Tom Gordon,Stephen King,3.58,"119,363 ratings",11564,"Nine-year-old Trisha McFarland strays from the path while she and her recently divorced mother and brother take a hike along a branch of the Appalachian Trail. Lost for days, wandering farther and farther astray, Trisha has only her portable radio for comfort. A huge fan of Tom Gordon, a Boston Red Sox relief pitcher, she listens to baseball games and fantasizes that her hero will save her. Nature isn't her only adversary, though - something dangerous may be tracking Trisha through the dark woods.",264 pages,"{'Adventure', 'Survival', 'Thriller', 'Fantasy', 'Audiobook', 'Sports', 'Suspense', 'Horror', 'Baseball', 'Fiction', 'Mystery'}",
15,"Naruto, Vol. 01: Uzumaki Naruto (Naruto, #1)",Masashi Kishimoto,4.38,"130,975 ratings",204042,"Naruto is a ninja-in-training with an incorrigible knack for mischief. His wild antics amuse his teammates, but Naruto is completely serious about one thing: becoming the world's greatest ninja!  UZUMAKI NARUTO  Twelve years ago the Village Hidden in the Leaves was attacked by a fearsome threat. A nine-tailed fox spirit claimed the life of the village leader, the Hokage, and many others. Today, the village is at peace, and a troublemaking kid named Naruto is struggling to graduate from Ninja Academy. His goal may be to become Hokage, but his true destiny will be much more complicated. The adventure begins now!",187 pages,"{'Fantasy', 'Manga', 'Sequential Art', 'Graphic Novels', 'Comics'}",
16,Cryptonomicon,Neal Stephenson,4.25,"93,140 ratings",816,"Cryptonomicon zooms all over the world, careening conspiratorially back and forth between two time periods--World War II and the present. Our 1940s heroes are the brilliant mathematician Lawrence Waterhouse, crypt analyst extraordinaire, and gung-ho, morphine-addicted marine Bobby Shaftoe. They're part of Detachment 2702, an Allied group trying to break Axis communication codes while simultaneously preventing the enemy from figuring out that their codes have been broken. Their job boils down to layer upon layer of deception. Dr. Alan Turing is also a member of 2702, and he explains the unit's strange workings to Waterhouse. ""When we want to sink a convoy, we send out an observation plane first... Of course, to observe is not its real duty--we already know exactly where the convoy is. Its real duty is to be observed... Then, when we come round and sink them, the Germans will not find it suspicious.""  All of this secrecy resonates in the present-day story line, in which the grandchildren of the WWII heroes--inimitable programming geek Randy Waterhouse and the lovely and powerful Amy Shaftoe--team up to help create an offshore data haven in Southeast Asia and maybe uncover some gold once destined for Nazi coffers. To top off the paranoiac tone of the book, the mysterious Enoch Root, key member of Detachment 2702 and the Societas Eruditorum, pops up with an unbreakable encryption scheme left over from WWII to befuddle the 1990s protagonists with conspiratorial ties.",1139 pages,"{'Historical Fiction', 'Science Fiction', 'Cyberpunk', 'Historical', 'Fiction'}",
17,In the Heart of the Sea: The Tragedy of the Whaleship Essex,Nathaniel Philbrick,4.16,"75,810 ratings",17780,"""With its huge, scarred head halfway out of the water and its tail beating the ocean into a white-water wake more than forty feet across, the whale approached the ship at twice its original speed - at least six knots. With a tremendous cracking and splintering of oak, it struck the ship just beneath the anchor secured at the cat-head on the port bow...""  In the Heart of the Sea brings to new life the incredible story of the wreck of the whaleship Essex - an event as mythic in its own century as the Titanic disaster in ours, and the inspiration for the climax of Moby-Dick. In a harrowing page-turner, Nathaniel Philbrick restores this epic story to its rightful place in American history.  In 1820, the 240-ton Essex set sail from Nantucket on a routine voyage for whales. Fifteen months later, in the farthest reaches of the South Pacific, it was repeatedly rammed and sunk by an eighty-ton bull sperm whale. Its twenty-man crew, fearing cannibals on the islands to the west, made for the 3,000-mile-distant coast of South America in three tiny boats. During ninety days at sea under horrendous conditions, the survivors clung to life as one by one, they succumbed to hunger, thirst, disease, and fear.  Philbrick interweaves his account of this extraordinary ordeal of ordinary men with a wealth of whale lore and with a brilliantly detailed portrait of the lost, unique community of Nantucket whalers. Impeccably researched and beautifully told, the book delivers the ultimate portrait of man against nature, drawing on a remarkable range of archival and modern sources, including a long-lost account by the ship's cabin boy.  At once a literary companion and a page-turner that speaks to the same issues of class, race, and man's relationship to nature that permeate the works of Melville, In the Heart of the Sea will endure as a vital work of American history.",302 pages,"{'History', 'Survival', 'Adventure', 'Historical', 'Nonfiction'}",
18,House of Sand and Fog,Andre Dubus III,3.85,"117,477 ratings",38311414,"In this “page-turner with a beating heart” (Boston Globe), a recovering alcoholic and addict down on her luck struggles to hold on to her home in California. But this becomes contested territory when a recent immigrant from the Middle East—a former colonel in the Iranian Air Force—becomes determined to restore his family’s dignity through buying the house. When the woman’s lover, a married cop, intervenes, he goes to extremes to win her love. Andre Dubus III’s unforgettable characters—people with ordinary flaws, looking for a small piece of ground to stand on—careen toward inevitable conflict. An “affecting, subtle portrait of two hostile but equally fragile camps” (The New Yorker), their tragedy paints a shockingly true picture of the country we still live in today, two decades after this book’s first publication.",368 pages,"{'Contemporary', 'Fiction'}",
19,"High Five (Stephanie Plum, #5)",Janet Evanovich,4.18,"110,691 ratings",6423,"Stephanie Plum has a whole lot of trouble on her doorstep.  Her Uncle Fred has disappeared and Grandma Mazur is convinced he's been abducted by aliens.  Meanwhile, Cousin Vinnie has asked her to bring in the vertically challenged Randy Briggs who's jumped bail. But instead of coming quietly, he has taken up residence in Stephanie's closet. The mysterious man called Bunchy is trailing Stephanie in the hope of tracking down Fred. And Benito Ramirez is back from jail, quoting Scripture and vowing to introduce Stephanie to God - face to face.  Thankfully Joe Morelli, the irresistible cop, is still around to give her the odd sleepless night - though now he faces tough competition from the enigmatic Ranger...",336 pages,"{'Humor', 'Romance', 'Chick Lit', 'Fiction', 'Mystery', 'Womens Fiction'}",
20,Mr. Maybe,Jane Green,3.45,"87,732 ratings",31101,"To Libby Mason, Mr. Right has always meant Mr. Rich. A twenty seven-year-old publicist, she's barely able to afford her fashionable and fabulous lifestyle and often has to foot the bill for dates with Struggling Writer Nick, a sexy but perpetually strapped-for-cash guy she's dating (no commitments – really). So when Ed, Britain's wealthiest but stodgiest bachelor, enters the picture, her idea of the fairy tale romance is turned on it's head.  Mr. Maybe is the tale of her heartfelt but hilarious deliberation, irresistibly chronicled by bestselling author Jane Green. On one hand, Nick makes up for his low bank-account balance by his performance in the sack, or in the bathtub, as the case may be. But life with him means little more than nightly trips to the bar, a dark and grungy apartment, and plenty of dull political tirades to boot. But those blue eyes, and that tender heart...  On the other hand, there's Ed, whose luxurious house and gargantuan bank account are quite tempting to the starving Libby. But his unsavory mustache and bumbling ways make Libby wonder if the platinum AMEX and unlimited ""retail therapy"" are worth it. He may have fallen in love with her at first sight, but nothing seems to solve his lackluster performance in the sack – even speed reading The Joy of Sex. When the diamond shopping commences, Libby is forced to realize that the time for ""maybe"" is up.  Taking romantic comedy to a hip, sparkling new level, Mr. Maybe is a classic tale of what happens to one girl when her heart and her head aren't looking for the same thing. With a laugh and minute and a heroine whose struggles in the dating jungle will remind you of your own, Mr. Maybe is a story that all will leave you smitten.",368 pages,"{'Chick Lit', 'Womens Fiction', 'Fiction', 'Romance'}",
21,"Chocolat (Chocolat, #1)",Joanne Harris,3.96,"104,354 ratings",47401,"A timeless novel of a straitlaced village's awakening to joy and sensuality - every page offers a description of chocolate to melt in the mouths of chocoholics, francophiles, armchair gourmets, cookbook readers, and lovers of passion everywhere.  Illuminating Peter Mayle's South of France with a touch of Laura Esquivel's magic realism, Chocolat is a timeless novel of a straitlaced village's awakening to joy and sensuality. In tiny Lansquenet, where nothing much has changed in a hundred years, beautiful newcomer Vianne Rocher and her exquisite chocolate shop arrive and instantly begin to play havoc with Lenten vows. Each box of luscious bonbons comes with a free gift: Vianne's uncanny perception of its buyer's private discontents and a clever, caring cure for them. Is she a witch? Soon the parish no longer cares, as it abandons itself to temptation, happiness, and a dramatic face-off between Easter solemnity and the pagan gaiety of a chocolate festival.  Chocolat's every page offers a description of chocolate to melt in the mouths of chocoholics, francophiles, armchair gourmets, cookbook readers, and lovers of passion everywhere. It's a must for anyone who craves an escapist read, and is a bewitching gift for any holiday.",306 pages,"{'Fantasy', 'Magical Realism', 'Romance', 'Cultural', 'Fiction', 'France'}",
22,Survivor,Chuck Palahniuk,3.92,"99,868 ratings",36236123,"From the author of the underground sensation Fight Club comes this wickedly incisive second novel, a mesmerizing, unnerving, and hilarious vision of cult and post-cult life.  Tender Branson—last surviving member of the so-called Creedish Death Cult—is dictating his life story into the flight recorder of Flight 2039, cruising on autopilot at 39,000 feet somewhere over the Pacific Ocean. He is all alone in the airplane, which will crash shortly into the vast Australian outback. Before it does, he will unfold the tale of his journey from an obedient Creedish child and humble domestic servant to an ultra-buffed, steroid- and collagen-packed media messiah, author of a best-selling autobiography, Saved from Salvation, and the even better selling Book of Very Common Prayer (The Prayer to Delay Orgasm, The Prayer to Prevent Hair Loss, The Prayer to Silence Car Alarms). He'll reveal the truth of his tortured romance with the elusive and prescient Fertility Hollis, share his insight that ""the only difference between suicide and martyrdom is press coverage,"" and deny responsibility for the Tender Branson Sensitive Materials Sanitary Landfill, a 20,000-acre repository for the nation's outdated pornography. Among other matters both bizarre and trenchant.  Not since Kurt Vonnegut's Mother Night and Jerzy Kosinski's Being There has there been as dark and telling a satire on the wages of fame and the bedrock lunacy of the modern world. Unpredictable, compelling, and unforgettable, Survivor is Chuck Palahniuk at his deadpan peak; and it cements his place as one of the most original writers in fiction today.",304 pages,"{'Novels', 'Contemporary', 'Thriller', 'Fiction'}",
23,Lucky,Alice Sebold,3.78,"87,778 ratings",82970,"In a memoir hailed for its searing candor and wit, Alice Sebold reveals how her life was utterly transformed when, as an eighteen-year-old college freshman, she was brutally raped and beaten in a park near campus. What propels this chronicle of her recovery is Sebold's indomitable spirit - as she struggles for understanding (""After telling the hard facts to anyone, from lover to friend, I have changed in their eyes""); as her dazed family and friends sometimes bungle their efforts to provide comfort and support; and as, ultimately, she triumphs, managing through grit and coincidence to help secure her attacker's arrest and conviction. In a narrative by turns disturbing, thrilling, and inspiring, Alice Sebold illuminates the experience of trauma victims even as she imparts wisdom profoundly hard-won: ""You save yourself or you remain unsaved.""",243 pages,"{'Nonfiction', 'Autobiography', 'Memoir', 'Biography'}",
24,The Testament,John Grisham,3.85,"96,705 ratings",5348,"In a plush Virginia office, a rich, angry old man is furiously rewriting his will. With his death just hours away, Troy Phelan wants to send a message to his children, his ex-wives, and his minions, a message that will touch off a vicious legal battle and transform dozens of lives.  Because Troy Phelan's new will names a sole surprise heir to his eleven-billion-dollar fortune: a mysterious woman named Rachel Lane, a missionary living deep in the jungles of Brazil.  Enter the lawyers. Nate O'Riley is fresh out of rehab, a disgraced corporate attorney handpicked for his last job: to find Rachel Lane at any cost. As Phelan's family circles like vultures in D.C., Nate is crashing through the Brazilian jungle, entering a world where money means nothing, where death is just one misstep away, and where a woman - pursued by enemies and friends alike - holds a stunning surprise of her own.",535 pages,"{'Mystery', 'Thriller', 'Fiction'}",
25,Sputnik Sweetheart,Haruki Murakami,3.82,"95,861 ratings",9557,"alternate cover can be found here  Sumire is in love with a woman seventeen years her senior. But whereas Miu is glamorous and successful, Sumire is an aspiring writer who dresses in an oversized second-hand coat and heavy boots like a character in a Kerouac novel.  Sumire spends hours on the phone talking to her best friend K about the big questions in life: what is sexual desire, and should she ever tell Miu how she feels for her? Meanwhile K wonders whether he should confess his own unrequited love for Sumire.  Then, a desperate Miu calls from a small Greek island: Sumire has mysteriously vanished...",229 pages,"{'Magical Realism', 'Cultural', 'Fiction', 'Japan', 'Asian Literature', 'Japanese Literature'}",
26,"Tripwire (Jack Reacher, #3)",Lee Child,4.09,"87,008 ratings",220970,"Jack Reacher, ex-military policeman relaxed in Key West until Costello turned up dead. The amiable PI was hired in New York by the daughter of Reacher's mentor and former commanding officer, General Garber. Garber's investigation into a Vietnam MIA sets Reacher on collision with hand-less ""Hook"" Hobie, hours away from his biggest",432 pages,"{'Action', 'Thriller', 'Crime', 'Fiction', 'Mystery'}",
27,"Hannibal (Hannibal Lecter, #3)",Thomas Harris,3.76,"77,586 ratings",32418,"Years after his escape, posing as scholarly Dr. Fell, curator of a grand family's palazzo, Hannibal lives the good life in Florence, playing lovely tunes by serial killer/composer Henry VIII and killing hardly anyone himself. Clarice is unluckier: in the novel's action-film-like opening scene, she survives an FBI shootout gone wrong, and her nemesis, Paul Krendler, makes her the fall guy. Clarice is suspended, so, unfortunately, the first cop who stumbles on Hannibal is an Italian named Pazzi, who takes after his ancestors, greedy betrayers depicted in Dante's Inferno. Pazzi is on the take from a character as scary as Hannibal: Mason Verger. When Verger was a young man busted for raping children, his vast wealth saved him from jail. All he needed was psychotherapy--with Dr. Lecter. Thanks to the treatment, Verger is now on a respirator, paralyzed except for one crablike hand, watching his enormous, brutal moray eel swim figure eights and devour fish. His obsession is to feed Lecter to some other brutal pets.",564 pages,"{'Thriller', 'Horror', 'Crime', 'Fiction', 'Mystery'}",
28,"Bridget Jones: The Edge of Reason (Bridget Jones, #2)",Helen Fielding,3.57,"92,427 ratings",363752,"Lurching from the cappuccino bars of Notting Hill to the blissed-out shores of Thailand, Bridget Jones searches for The Truth in spite of pathetically unevolved men, insane dating theories, and Smug Married advice (""'I'm just calling to say in the potty! In the potty! Well, do it in Daddy's hand, then!'""). She experiences a zeitgeist-esque Spiritual Epiphany somewhere between the pages of ""How to Find the Love You Want Without Seeking It"" (""can self-help books really self help?""), protective custody, and a lightly chilled Chardonnay.",352 pages,"{'Humor', 'Romance', 'Chick Lit', 'Contemporary', 'Fiction', 'Womens Fiction'}",
29,Disgrace,J.M. Coetzee,3.84,"76,658 ratings",6192,"Set in post-apartheid South Africa, J. M. Coetzee’s searing novel tells the story of David Lurie, a twice divorced, 52-year-old professor of communications and Romantic Poetry at Cape Technical University. Lurie believes he has created a comfortable, if somewhat passionless, life for himself. He lives within his financial and emotional means. Though his position at the university has been reduced, he teaches his classes dutifully; and while age has diminished his attractiveness, weekly visits to a prostitute satisfy his sexual needs. He considers himself happy. However, when Lurie seduces one of his students, he sets in motion a chain of events that will shatter his complacency and leave him utterly disgraced.",220 pages,"{'Southern Africa', 'Novels', 'Cultural', 'Fiction', 'Africa', 'South Africa', 'Literature'}",
30,Hearts in Atlantis,Stephen King,3.82,"79,884 ratings",11602,"Five interconnected, sequential narratives, set in the years from 1960 to 1999. Each story is deeply rooted in the sixties, and each is haunted by the Vietnam War.  Stephen King, whose first novel, Carrie, was published in 1974, the year before the last U.S. troops withdrew from Vietnam, is the first hugely popular writer of the TV generation. Images from that war -- and the protests against it -- had flooded America's living rooms for a decade. Hearts in Atlantis, King's newest fiction, is composed of five interconnected, sequential narratives, set in the years from 1960 to 1999. Each story is deeply rooted in the sixties, and each is haunted by the Vietnam War.  In Part One, ""Low Men in Yellow Coats,"" eleven-year-old Bobby Garfield discovers a world of predatory malice in his own neighborhood. He also discovers that adults are sometimes not rescuers but at the heart of the terror.  In the title story, a bunch of college kids get hooked on a card game, discover the possibility of protest...and confront their own collective heart of darkness, where laughter may be no more than the thinly disguised cry of the beast.  In ""Blind Willie"" and ""Why We're in Vietnam,"" two men who grew up with Bobby in suburban Connecticut try to fill the emptiness of the post-Vietnam era in an America which sometimes seems as hollow -- and as haunted -- as their own lives.  And in ""Heavenly Shades of Night Are Falling,"" this remarkable book's denouement, Bobby returns to his hometown where one final secret, the hope of redemption, and his heart's desire may await him.  Full of danger, full of suspense, most of all full of heart, Stephen King's new book will take some readers to a place they have never been...and others to a place they have never been able to completely leave.",640 pages,"{'Horror', 'Fiction', 'Fantasy'}",
31,Speak,Laurie Halse Anderson,4.02,"459,695 ratings",39280444,"The first ten lies they tell you in high school.  ""Speak up for yourself—we want to know what you have to say.""  From the first moment of her freshman year at Merryweather High, Melinda knows this is a big fat lie, part of the nonsense of high school. She is friendless, outcast, because she busted an end-of-summer party by calling the cops, so now nobody will talk to her, let alone listen to her. As time passes, she becomes increasingly isolated and practically stops talking altogether. Only her art class offers any solace, and it is through her work on an art project that she is finally able to face what really happened at that terrible party: she was raped by an upperclassman, a guy who still attends Merryweather and is still a threat to her. Her healing process has just begun when she has another violent encounter with him. But this time Melinda fights back, refuses to be silent, and thereby achieves a measure of vindication.  In Laurie Halse Anderson's powerful novel, an utterly believable heroine with a bitterly ironic voice delivers a blow to the hypocritical world of high school. She speaks for many a disenfranchised teenager while demonstrating the importance of speaking up for oneself.  Speak was a 1999 National Book Award Finalist for Young People's Literature.",224 pages,"{'Fiction', 'Contemporary', 'Realistic Fiction', 'Young Adult'}",Hardcover
32,"Bud, Not Buddy",Christopher Paul Curtis,3.92,"89,936 ratings",368468,"It's 1936, in Flint, Michigan. Times may be hard, and ten-year-old Bud may be a motherless boy on the run, but Bud's got a few things going for him:  He has his own suitcase full of special things.  He's the author of Bud Caldwell's Rules and Things for Having a Funner Life and Making a Better Liar Out of Yourself.  His momma never told him who his father was, but she left a clue: flyers advertising Herman E. Calloway and his famous band, the Dusky Devastators of the Depression!!!!!!  Bud's got an idea that those flyers will lead him to his father. Once he decides to hit the road and find this mystery man, nothing can stop him--not hunger, not fear, not vampires, not even Herman E. Calloway himself.",243 pages,"{'Middle Grade', 'Historical Fiction', 'Historical', 'Fiction', 'Young Adult', 'Childrens'}",Hardcover
