,titles,authors,ratings,num_ratings,id,img,description,pages,genre,format
10,Strait is the Gate,André Gide,3.60,3388,469406,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1347378560l/469406.jpg,"A delicate boy growing up in Paris, Jerome Palissier spends many summers at his uncle's house in the Normandy countryside, where the whole world seems 'steeped in azure'. There he falls deeply in love with his cousin Alissa and she with him. But gradually Alissa becomes convinced that Jerome's love for her is endangering his soul. In the interests of his salvation, she decides to suppress everything that is beautiful in herself - in both mind and body.",104 pages,"{'France', 'Classics', 'French Literature', 'Cultural', 'Fiction', 'European Literature'}",
11,The Complete Poetry,John Milton,4.06,3866,16802,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1386926249l/16802.jpg,"The first complete annotated edition of Milton's poetry available in a one-volume paperback. The text is established from original sources, with collations of all known manuscripts, chronology and verbal variants recorded. Works in Latin, Greek and Italian are included with new literal transl",672 pages,"{'Classics', 'Literature', 'Poetry', 'Fiction'}",
12,The Ball and the Cross,G.K. Chesterton,4.03,1990,259052,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1389339798l/259052.jpg,"Like much of G. K. Chesterton's fiction, The Ball and the Cross is both witty and profound, cloaking serious religious and philosophical inquiry in sparkling humor and whimsy. Serialized in the British publication The Commonwealth in 1905-06, Chesterton's second novel first appeared in book form in America in 1909, delighting and challenging readers with its heady mixture of fantasy, farce, and theology. The plot of The Ball and the Cross chronicles a hot dispute between two Scotsmen, one a devout but naive Roman Catholic, the other a zealous but naive atheist. Their fanatically held opinions—leading to a duel that is proposed but never fought—inspire a host of comic adventures whose allegorical levels vigorously explore the debate between theism and atheism. Martin Gardner's superb introduction to The Ball and the Cross reveals the real-life debate between Chesterton and a famous atheist that provided inspiration for the story, and it explores some of the novel's possible allegorical meanings. Appraising the book's many intriguing philosophical qualities, Mr. Gardner alerts readers as well to the pleasures of its ""colorful style . . . amusing puns and clever paradoxes . . . and the humor and melodrama of its crazy plot.""",208 pages,"{'Christian', 'Classics', 'Philosophy', 'Fiction', 'Religion'}",
13,Chłopi,Władysław Stanisław Reymont,3.16,2754,1841723,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1189074060l/1841723.jpg,"Each of the four parts represents a season in the life of the peasants — Autumn (published in 1904), Winter (published in 1904), Spring (published in 1906), and Summer (published in 1909). This division underlines the relationship of human life with nature.  Reymont decided to write about peasant life because of historical events, which took place in Polish villages in the early 20th century. The fact that the author was brought up in a village has a significant influence on the novel’s plot.  In Chłopi, Reymont created a more complete and suggestive picture of country life than any other Polish writer. The novel impresses the reader with its authenticity of the material reality, customs, behaviour and spiritual culture of the people. The composition of the novel astonishes the reader with its strict simplicity and functionality. The titles of the various volumes signal a tetralogy in one vegetational cycle, which regulates the eternal and repeatable rhythm of village life. Parallel to that rhythm is a calendar of religion and customs, also repeatable. In such boundaries Reymont placed a colourful country community with sharply drawn individual portraits. The repertoire of human experience and the richness of spiritual life, which can be compared with the repertoire of Biblical books and Greek myths, has no doctrinal ideas or didactic exemplifications. The author of Chłopi does not believe in doctrines, but rather in his own knowledge of life, the mentality of the people described, and his sense of reality.",616 pages,"{'Classics', 'Academic', 'Fiction', 'European Literature', 'Polish Literature', 'School'}",Hardcover
14,"Mike and Psmith (Psmith, #1)",P.G. Wodehouse,4.04,2076,953232,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348073756l/953232.jpg,"An early Wodehouse novel, this is both a sporting story and a tale of friendship between two boys at boarding school. Mike (introduced in Mike at Wrykyn) is a seriously good cricketer who forms an unlikely alliance with old Etonian Psmith ('the P is silent') after they both find themselves fish out of water at a new school, Sedleigh. Full of entertainment, the plot reaches a satisfying conclusion as the pair eventually overcome the hostility of others and their own prejudices to become stars. Even readers uninterested in cricket are likely to be gripped by descriptions of matches, but the real meat of the book is to be found in the characters, especially the elegant Psmith, one of Wodehouse's immortal creations, who features in three of his later novels.",244 pages,"{'Classics', 'Comedy', 'Humor', 'Fiction'}",
15,The Great Apostasy,James E. Talmage,4.27,1894,1102987,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1418843306l/1102987.jpg,James E. Talmage's thorough discussion of the significance of the great apostasy as a condition for the reestablishment of the Church in modern times. A summary of the most important evidences of the decline and final extinction of the primitive church. Helpful for missionaries and investigators. Offers a clear understanding of the apostasy and the restoration of the priesthood.,176 pages,"{'Lds', 'History', 'Church', 'Christianity', 'Mormonism', 'Religion', 'Nonfiction'}",
16,L'aiguille creuse,Maurice Leblanc,3.94,1951,141213,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1333605949l/141213.jpg,"Arsène Lupin est mort ! En tout cas, c'est ce que tout le monde a l'air de croire : lors d'un cambriolage nocturne au château d'Ambrumésy, Mlle de Saint-Véran tire sur un rôdeur mais son cadavre reste introuvable. Quelques jours plus tard, la jeune femme est enlevée et son corps est retrouvé inanimé, à côté de celui d'Arsène Lupin. Comme par hasard, le document renfermant le secret de l'Aiguille creuse disparaît en même temps... Isidore Beautrelet, lui, ne croit ni à ces faits qui s'enchaînent trop facilement ni à la mort du gentleman-cambrioleur. Il décide donc d'enquêter...",192 pages,"{'France', 'Classics', 'Cultural', 'Fiction', 'Mystery', 'Crime'}",
17,The Last Trail,Zane Grey,3.85,1846,121178,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348777708l/121178.jpg,This is a pre-1923 historical reproduction that was curated for quality. Quality assurance was conducted on each of these books in an attempt to remove books with imperfections introduced by the digitization process. Though we have made best efforts - the books may have occasional errors that do not impede the reading experience. We believe this work is culturally important and have elected to bring the book back into print as part of our continuing commitment to the preservation of printed works worldwide.,212 pages,"{'Historical', 'Classics', 'Historical Fiction', 'Fiction', 'Westerns'}",
18,The Other Side,Alfred Kubin,3.84,1107,847735,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1328495092l/847735.jpg,"The Other Side tells of a dream kingdom which becomes a nightmare, of a journey to Perle, a mysterious city created deep in Asia, which is also a journey to the depths of the subconscious. Or as Kubin himself called it, 'a sort of Baedeker for those lands which are half known to us'.  Alfred Kubin (1877-1959) was one of the major graphic artists of the 20th century who was widely known for his illustrations of writers of the fantastic such as Balzac, E.T.A. Hoffmann, Gustav Meyrink and Edgar Allan Poe. In his combination of the darkly decadent, the fantastic and the grotesque, in his evocations of dream and nightmare, his creation of an atmosphere of mystery and fear he resembles Mervyn Peake.",320 pages,"{'Horror', 'German Literature', 'Weird Fiction', 'Fantasy', 'Fiction', 'European Literature'}",
19,Gunnar's Daughter,Sigrid Undset,4.18,954,6226,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1386924494l/6226.jpg,"Set in Norway and Iceland at the beginning of the eleventh century, this is the story of the beautiful, spoiled Vigdis Gunnarsdatter, who is casually raped by the man she had wanted to love. A woman of courage and intelligence, Vigdis is toughened by adversity. Alone she raises the child conceived in violence, repeatedly defending her autonomy in a world governed by men. Alone she rebuilds her life and restores her family's honor, until an unrelenting social code propels her to take the action that again destroys her happiness. More than a historical romance, Gunnar's Daughter depicts characters driven by passion and vengefulness, themes as familiar in Undset's own time - and in ours - as they were in the Saga Age.",161 pages,"{'Historical', 'Classics', 'Scandinavian Literature', 'Historical Fiction', 'Fiction', 'European Literature', 'Literature'}",
20,The Tale of Ginger and Pickles,Beatrix Potter,3.80,1500,608727,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1345804904l/608727.jpg,"Ginger and Pickles (a terrier and a ginger cat) kept a very popular shop. Their customers loved to buy their provisions there, but they were less keen to pay for them and ran up a gret deal of credit, making poor Ginger and Pickles lives very difficult indeed.  The Tale of Ginger and Pickles is number 18 in Beatrix Potter's series of 23 little books, the titles of which are as follows:  1 The Tale of Peter Rabbit 2 The Tale of Squirrel Nutkin 3 The Tailor of Gloucester 4 The Tale of Benjamin Bunny 5 The Tale of Two Bad Mice 6 The Tale of Mrs. Tiggy-Winkle 7 The Tale of Mr. Jeremy Fisher 8 The Tale of Tom Kitten 9 The Tale of Jemima Puddle-Duck 10 The Tale of the Flopsy Bunnies 11 The Tale of Mrs. Tittlemouse 12 The Tale of Timmy Tiptoes 13 The Tale of Johnny Town-Mouse 14 The Tale of Mr. Tod 15 The Tale of Pigling Bland 16 The Tale of Samuel Whiskers 17 The Tale of The Pie and the Patty-Pan 18 The Tale of Ginger and Pickles 19 The Tale of Little Pig Robinson 20 The Story of a Fierce Bad Rabbit 21 The Story of Miss Moppet 22 Appley Dapply's Nursery Rhymes 23 Cecily Parsley's Nursery Rhymes",58 pages,"{'Childrens', 'Classics', 'Animals', 'Picture Books', 'Fiction'}",Hardcover
21,Ann Veronica,H.G. Wells,3.57,915,283860,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1311647673l/283860.jpg,"Twenty-one, passionate and headstrong, Ann Veronica Stanley is determined to live her own life. When her father forbids her attending a fashionable ball, she decides she has no choice but to leave her family home and make a fresh start in London. There, she finds a world of intellectuals, socialists and suffragettes — a place where, as a student in biology at Imperial College, she can be truly free. But when she meets the brilliant Capes, a married academic, and quickly falls in love, she soon finds that freedom comes at a price.  A fascinating description of the women's suffrage movement, Ann Veronica offers an optimistic depiction of one woman's sexual awakening and search for independence.",352 pages,"{'British Literature', 'Classics', 'Historical', 'Literature', 'Historical Fiction', 'Victorian', 'Fiction', 'European Literature', 'Romance', 'Audiobook', 'Feminism'}",
22,The Wanderer,Knut Hamsun,3.95,975,32589,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348757793l/32589.jpg,"The Wanderer, which consists of two closely related novels, Under the Autumn Star and On Muted Strings, has been acclaimed as one of Knut Hamsun's finest works.  The narrator, Knut Pedersen (Hamsun's real name), is an unsimple character in search of the simple life, which he hopes to attain by wandering round the Norwegian countryside doing such work as he can find. His quest is continually frustrated, not least by his susceptibility to the wives and daughters of successive employers.  In Under the Autumn Star he joins forces first with Grindhusen, a man blessed with the faith that ""something will turn up""; later with Lars Falkenberg, whose dubious talents include the tuning of pianos. Knut and Lars end up as workmen on the estate of a certain Captain Falkenberg (no relation), with whose wife each falls in love. In due course, Knut is laid off and, in futile pursuit of the woman with whom by now he is helplessly infatuated, eventually finds himself sucked back into the city he once fled.  ""A wanderer plays on muted strings,"" explains Knut, now six years older, ""when he reaches the age of two score years and ten."" Among this sequel's qualities is the poignancy with which it conveys that sense of aging.  Both novels show Hamsun at the height of his powers: lyrical and passionate, ironic yet deeply humane, master of one of the most original prose styles in modern literature, brilliantly translated here by Oliver and Gunnvor Stallybrass.",164 pages,"{'Classics', 'Scandinavian Literature', 'Fiction', 'European Literature', 'Novels'}",
23,The Rosary,Florence Louisa Barclay,3.98,1012,1420762,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348683580l/1420762.jpg,"""The Rosary"" is a beautiful love story. Gareth Dalmain falls in love with the Honorable Jane Champion. She loves him back, but does not trust his love, as is known to be a great lover of beauty, and she - alas - is very plain. Just as she decides to trust him, she receives news that he has been blinded in a hunting accident. She wants to go visit him, but he will not receive her, as he wants only her love - not her pity. With the help of their mutual friend and doctor, she gets the position as his nurse under a presumed name, and thereby gets to know the 'new' Gareth.",380 pages,"{'Classics', 'Romance', 'Fiction'}",Hardcover
24,The Ghost Pirates,William Hope Hodgson,3.58,860,634043,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1328014883l/634043.jpg,"""The Ghost Pirates . . . is a powerful account of a doomed and haunted ship on its last voyage, and of the terrible sea-devils (of quasi-human aspect, and perhaps the spirits of bygone buccaneers) that besiege it and finally drag it down to an unknown fate. With its command of maritime knowledge, and its clever selection of hints and incidents suggestive of latent horrors in nature, this book at times reaches enviable peaks of power."" -- H.P. Lovecraft",176 pages,"{'Horror', 'Paranormal', 'Classics', 'Weird Fiction', 'Fantasy', 'Adventure', 'Pirates', 'Fiction', 'Ghosts'}",
25,Stickeen: John Muir and the Brave Little Dog,John Muir,4.29,916,238718,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1347417134l/238718.jpg,"This true tale actually happened in Alaska to the famous naturalist, John Muir, and it became what he called the most memorable of all his wild days. One day, Muir set out to explore a huge glacier during a blizzard. Stickeen--an aloof little dog belonging to a fellow traveler--insisted on going along. They become stranded on the glacier. The only way out was over a precarious ice bridge, dangerous for a man and almost impossible for a dog. When, amazingly, they both escape, Stickeen's aloofness is replaced by rapturous adoration for Muir. The author skillfully weaves Muir's own words, the illustrations are extraordinary, and the result is a classic.",32 pages,"{'Nature', 'Biography', 'Animals', 'Adventure', 'Environment', 'Travel', 'Nonfiction'}",
26,The Secret Sharer and other stories,Joseph Conrad,3.70,840,513574,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1175429751l/513574.jpg,"This is a collection of gripping tales of crime, crisis or disaster, in which ordinary people find themselves tested in extraordinary circums",,"{'Classics', 'Short Stories', 'Literature', 'Fiction'}",
27,Königliche Hoheit,Thomas Mann,3.62,581,1132604,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1181250028l/1132604.jpg,Deutscher Prinz trifft amerikanische Milliardärstochter. In diesem Roman zeigt sich Thomas Mann von einer heiteren Seite und schafft trotzdem ein ernsthaftes Sinnbild für die aufbrechende M,359 pages,"{'German Literature', 'Classics', 'Historical', 'Germany', 'Historical Fiction', 'Cultural', 'Fiction', 'European Literature', 'Collections', 'Anthologies', 'Literature', 'Nobel Prize'}",
28,1857 - The First War of Independence १८५७ चे स्वातंत्र्यसमर,V.D. Savarkar,4.29,284,3249668,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1372254955l/3249668.jpg,"This book is a step by step account of the uprising of the Indian masses against the ruthless British empire. Tracing the footsteps of the barefooted, undernourished and almost unarmed Indian common folks challenging the British bullets with sheer force of will power. This book became the holy book for Indian revolutionaries and so was proscribed or banned by the British government. Due to the ban the book was smuggled in India and England after it was published in Holland.",,"{'India', 'History', 'Cultural', 'Marathi', 'Literature'}",
29,Tales of Soldiers and Civilians and Other Stories,Ambrose Bierce,3.97,488,1084577,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348705100l/1084577.jpg,"Questing after Pancho Villa’s revolutionary forces, Ambrose Bierce rode into Mexico in 1913 and was never seen again. He left behind him theDevil’s Dictionary and a remarkable body of short fiction. This new collection gathers some of Bierce’s finest stories, including the celebrated Civil War fictions ‘An Occurrence at Owl Creek Bridge‘ and ‘Chickamauga‘, his macabre masterpieces ""The Damned Thing"" and ""Moxon's Master"", and his hilariously horrific ""Oil of Dog"" and ""My Favorite Murder"". --back cover  TABLE OF CONTENTS Introduction Suggestions for Further Reading A Note on the Text From In the Midst of Life Soldiers: A Horseman in the Sky An Occurrence at Owl Creek Bridge Chickamauga A Son of the Gods One of the Missing Killed at Resaca The Affair at Coulter’s Notch The Coup de Grâce Parker Adderson, Philosopher An Affair of Outposts The Story of a Conscience One Kind of Officer The Mocking-Bird  Civilians: The Man Out of the Nose The Man and the Snake The Boarded Window From Can Such Things Be? Can Such Things Be?: Moxon’s Master A Tough Tussle A Resumed Identity The Night-Doings at “Deadman’s” The Realm of the Unreal The Damned Thing Haïta the Shepherd  The Ways of Ghosts: Present at a Hanging A Wireless Message  Soldier Folk: Three and One Are One From Negligible Tales Negligible Tales: A Bottomless Grave Jupiter Doke, Brigadier-General The City of the Gone Away The Major’s Tale Curried Cow A Revolt of the Gods  The Parenticide Club: My Favorite Murder Oil of Dog From Antepenultimata A Bivouac of the Dead From The Opinionator The Controversialist: The Short Story  Explanatory Notes Glossary of Military Terms Battle Sites and Battle Leaders",304 pages,"{'Horror', 'American Civil War', 'Literary Fiction', 'Classics', 'Gothic', 'War', 'American History', 'American', 'Fiction', 'Short Stories', 'Literature'}",
30,Mozart,Marcia Davenport,3.83,703,183266,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1266490771l/183266.jpg,"Realistic, moving, engrossing and positively brilliant, this first American biography of the 18th century composer re-created Mozart--the man and his music--against the back ground of the he l",400 pages,"{'Biography Memoir', 'History', 'Biography', 'Music', 'Nonfiction'}",
31,Extract from Captain Stormfield's Visit to Heaven,Mark Twain,3.87,566,453751,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1365462955l/453751.jpg,"Twain's witty vision of what heaven ""is really like"" is told from the point of view of the recently deceased Captain Stormfield. In a folksy narration peppered with sailor's jargon, the amiable, altogether down-to-earth merchant marine describes a series of amusingly disconcerting revelations about the next world.   Sitting on a cloud strumming a harp all day turns out to be insufferably boring; being eternally youthful also has its drawbacks when the captain finds himself not mixing well with a crowd of insipid teenagers; and Native Americans so outnumber whites in the North American district of Paradise that the average white Anglo-Saxon male has trouble finding someone to talk to. In fact the outlandish dimensions and characteristics of heaven utterly explode every human conception.   This funny, satirical spoof on human pretensions about the importance of our species in the grand scheme of things was the last published work by Mark Twain. The main character and plot were inspired by the dream of an actual sea captain whom Twain had known. Published at the beginning of the 20th century, when astronomy had just begun to reveal the huge expanse of outer space and traditional religious concepts of our place in the universe had become inadequate, Twain's humorous vision of the afterlife seems to reflect the new scientific awareness of the awesome cosmos that confronts us and the feelings of insignificance that this discovery produced.  Two years after publication of this ""extract,"" originally planned as a six-chapter book, Twain himself shipped off to follow in Captain Stormfield's wake.",153 pages,"{'Religion', 'Classics', 'Comedy', 'Fantasy', 'American', 'Fiction', 'Short Stories', 'Humor', 'Literature'}",
32,Literary Taste,Arnold Bennett,3.70,218,1458550,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1183830330l/1458550._SY475_.jpg,"Arnold Bennett is probably not widely read in the 21st century, but in his heyday during the first 30 years of the 20th century he was one of the most popular and most respected authors in Britain, and his most famous works included The Old Wives' Tale, the Clayhanger Trilogy, and The Card. He was essentially a literary man, but he started out as a journalist and in his time he produced many self-improvement books such as were all the rage as more and more ordinary working-class people (having started to benefit from free education) sought the opportunity to better themselves in an era when the theme was often 'knowledge is power"". Literary Taste, which has a sub-title ""how to form it, with detailed instructions for collecting a complete library of English Literarure"", came into that category, and was a very successful publication. More than 100 years after it first appeared (in 1909) it will seem rather quaint, but there is much of value in it, and, bearing in mind that much good and great literary work has been produced in modern times, it is still worth a study. Remember it is a book that pointed the way for the generation of our grandfathers and great-grandfathers!",60 pages,"{'Books About Books', 'Classics', 'Writing', 'Essays', 'Literary Criticism', 'Literature', 'Nonfiction', 'Criticism'}",
33,"The Swoop!, or How Clarence Saved England: A Tale of the Great Invasion",P.G. Wodehouse,3.26,368,971687,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348262029l/971687.jpg,This is a pre-1923 historical reproduction that was curated for quality. Quality assurance was conducted on each of these books in an attempt to remove books with imperfections introduced by the digitization process. Though we have made best efforts - the books may have occasional errors that do not impede the reading experience. We believe this work is culturally important and have elected to bring the book back into print as part of our continuing commitment to the preservation of printed works worldwide.,78 pages,"{'Classics', 'Comedy', 'Humor', 'Fiction'}",
