au_ge,authors,avg_rating,bow,description,format,genre,id,img,isbn,key_words,num_ratings,page,ratings,titles,tot_rating,year_pub
,James E. Talmage,,jamesetalmage religion christianity lds history religion church nonfiction lds mormonism historical spirituality religion christianity lds ldsnonfiction decline condition significance priesthood investigators offers great apostasy clear understanding important evidences restoration james e talmages thorough discussion summary missionaries modern times final extinction reestablishment primitive church helpful,James E. Talmage's thorough discussion of the significance of the great apostasy as a condition for the reestablishment of the Church in modern times. A summary of the most important evidences of the decline and final extinction of the primitive church. Helpful for missionaries and investigators. Offers a clear understanding of the apostasy and the restoration of the priesthood.,,"Religion, Christianity, Lds, History, Religion, Church, Nonfiction, Lds, Mormonism, Historical, Spirituality, Religion, Christianity, Lds, Lds Non Fiction",1102987,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1418843306l/1102987.jpg,9780875798431.0,decline condition significance priesthood investigators offers great apostasy clear understanding important evidences restoration james e talmages thorough discussion summary missionaries modern times final extinction reestablishment primitive church helpful,"1,902 ratings",176.0,4.27,The Great Apostasy,,
,Maurice Leblanc,,mauriceleblanc mystery classics fiction cultural france mystery crime europeanliterature frenchliterature adventure mystery detective novels roman arsène lupin est mort en tout cas cest ce que le monde lair de croire lors dun cambriolage nocturne au château dambrumésy mlle saint véran tire sur un rôdeur mais son cadavre reste introuvable quelques jours plus tard la jeune femme enlevée et corps retrouvé inanimé à côté celui darsène comme par hasard document renfermant secret laiguille creuse disparaît même temps isidore beautrelet lui ne croit ni ces faits qui senchaînent trop facilement du gentleman cambrioleur il décide donc denquêter,"Arsène Lupin est mort ! En tout cas, c'est ce que tout le monde a l'air de croire : lors d'un cambriolage nocturne au château d'Ambrumésy, Mlle de Saint-Véran tire sur un rôdeur mais son cadavre reste introuvable. Quelques jours plus tard, la jeune femme est enlevée et son corps est retrouvé inanimé, à côté de celui d'Arsène Lupin. Comme par hasard, le document renfermant le secret de l'Aiguille creuse disparaît en même temps... Isidore Beautrelet, lui, ne croit ni à ces faits qui s'enchaînent trop facilement ni à la mort du gentleman-cambrioleur. Il décide donc d'enquêter...",mass market paperback,"Mystery, Classics, Fiction, Cultural, France, Mystery, Crime, European Literature, French Literature, Adventure, Mystery, Detective, Novels, Roman",141213,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1333605949l/141213.jpg,9782253001416.0,arsène lupin est mort en tout cas cest ce que le monde lair de croire lors dun cambriolage nocturne au château dambrumésy mlle saint véran tire sur un rôdeur mais son cadavre reste introuvable quelques jours plus tard la jeune femme enlevée et corps retrouvé inanimé à côté celui darsène comme par hasard document renfermant secret laiguille creuse disparaît même temps isidore beautrelet lui ne croit ni ces faits qui senchaînent trop facilement du gentleman cambrioleur il décide donc denquêter,"1,962 ratings",192.0,3.94,L'aiguille creuse,,
,Zane Grey,,zanegrey westerns fiction classics historical historicalfiction print culturally important part curated reading experience books may conducted attempt made best efforts believe quality assurance occasional errors imperfections introduced work book back elected digitization process though remove continuing commitment pre historical reproduction bring impede preservation printed works worldwide,This is a pre-1923 historical reproduction that was curated for quality. Quality assurance was conducted on each of these books in an attempt to remove books with imperfections introduced by the digitization process. Though we have made best efforts - the books may have occasional errors that do not impede the reading experience. We believe this work is culturally important and have elected to bring the book back into print as part of our continuing commitment to the preservation of printed works worldwide.,paperback,"Westerns, Fiction, Classics, Historical, Historical Fiction",121178,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348777708l/121178.jpg,9781426438011.0,print culturally important part curated reading experience books may conducted attempt made best efforts believe quality assurance occasional errors imperfections introduced work book back elected digitization process though remove continuing commitment pre historical reproduction bring impede preservation printed works worldwide,"1,855 ratings",212.0,3.86,The Last Trail,,
,Alfred Kubin,,alfredkubin fantasy fiction horror europeanliterature germanliterature fantasy weirdfiction sort subconscious kubin us alfred atmosphere side tells combination illustrations major graphic artists widely known becomes fantastic evocations journey mysterious city created deep grotesque also th century writers creation asia perle depths edgar allan poe called lands nightmare resembles mervyn peake mystery baedeker hoffmann gustav meyrink darkly decadent balzac e dream kingdom one fear half,"The Other Side tells of a dream kingdom which becomes a nightmare, of a journey to Perle, a mysterious city created deep in Asia, which is also a journey to the depths of the subconscious. Or as Kubin himself called it, 'a sort of Baedeker for those lands which are half known to us'.  Alfred Kubin (1877-1959) was one of the major graphic artists of the 20th century who was widely known for his illustrations of writers of the fantastic such as Balzac, E.T.A. Hoffmann, Gustav Meyrink and Edgar Allan Poe. In his combination of the darkly decadent, the fantastic and the grotesque, in his evocations of dream and nightmare, his creation of an atmosphere of mystery and fear he resembles Mervyn Peake.",paperback,"Fantasy, Fiction, Horror, European Literature, German Literature, Fantasy, Weird Fiction",847735,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1328495092l/847735.jpg,9781873982693.0,sort subconscious kubin us alfred atmosphere side tells combination illustrations major graphic artists widely known becomes fantastic evocations journey mysterious city created deep grotesque also th century writers creation asia perle depths edgar allan poe called lands nightmare resembles mervyn peake mystery baedeker hoffmann gustav meyrink darkly decadent balzac e dream kingdom one fear half,"1,128 ratings",320.0,3.84,The Other Side,,
,Sigrid Undset,,sigridundset historical historicalfiction fiction classics europeanliterature scandinavianliterature literature eleventh century courage story action beautiful spoiled vigdis gunnarsdatter men alone woman set take norway iceland wanted restores intelligence violence repeatedly defending familiar world governed saga age undsets beginning historical romance gunnars daughter depicts characters driven man rebuilds adversity unrelenting social code propels casually raped passion autonomy child conceived happiness toughened destroys raises life love time vengefulness themes familys honor,"Set in Norway and Iceland at the beginning of the eleventh century, this is the story of the beautiful, spoiled Vigdis Gunnarsdatter, who is casually raped by the man she had wanted to love. A woman of courage and intelligence, Vigdis is toughened by adversity. Alone she raises the child conceived in violence, repeatedly defending her autonomy in a world governed by men. Alone she rebuilds her life and restores her family's honor, until an unrelenting social code propels her to take the action that again destroys her happiness. More than a historical romance, Gunnar's Daughter depicts characters driven by passion and vengefulness, themes as familiar in Undset's own time - and in ours - as they were in the Saga Age.",paperback,"Historical, Historical Fiction, Fiction, Classics, European Literature, Scandinavian Literature, Literature",6226,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1386924494l/6226.jpg,9780141180205.0,eleventh century courage story action beautiful spoiled vigdis gunnarsdatter men alone woman set take norway iceland wanted restores intelligence violence repeatedly defending familiar world governed saga age undsets beginning historical romance gunnars daughter depicts characters driven man rebuilds adversity unrelenting social code propels casually raped passion autonomy child conceived happiness toughened destroys raises life love time vengefulness themes familys honor,985 ratings,161.0,4.18,Gunnar's Daughter,,
,Beatrix Potter,,beatrixpotter childrens classics childrens picturebooks fiction animals mrs tiggy winkle beatrix potters series story miss moppet appley dapplys nursery rhymes cecily parsleys tailor two bad mice pie patty pan pickles lives difficult indeed customers loved mr jeremy fisher little books number fierce rabbit ginger cat kept tale pay less keen flopsy bunnies johnny town mouse buy squirrel nutkin pig robinson gloucester pigling bland samuel whiskers terrier tom kitten credit making poor tittlemouse ran popular shop peter tod provisions jemima puddle duck timmy tiptoes follows titles gret deal benjamin bunny,"Ginger and Pickles (a terrier and a ginger cat) kept a very popular shop. Their customers loved to buy their provisions there, but they were less keen to pay for them and ran up a gret deal of credit, making poor Ginger and Pickles lives very difficult indeed.  The Tale of Ginger and Pickles is number 18 in Beatrix Potter's series of 23 little books, the titles of which are as follows:  1 The Tale of Peter Rabbit 2 The Tale of Squirrel Nutkin 3 The Tailor of Gloucester 4 The Tale of Benjamin Bunny 5 The Tale of Two Bad Mice 6 The Tale of Mrs. Tiggy-Winkle 7 The Tale of Mr. Jeremy Fisher 8 The Tale of Tom Kitten 9 The Tale of Jemima Puddle-Duck 10 The Tale of the Flopsy Bunnies 11 The Tale of Mrs. Tittlemouse 12 The Tale of Timmy Tiptoes 13 The Tale of Johnny Town-Mouse 14 The Tale of Mr. Tod 15 The Tale of Pigling Bland 16 The Tale of Samuel Whiskers 17 The Tale of The Pie and the Patty-Pan 18 The Tale of Ginger and Pickles 19 The Tale of Little Pig Robinson 20 The Story of a Fierce Bad Rabbit 21 The Story of Miss Moppet 22 Appley Dapply's Nursery Rhymes 23 Cecily Parsley's Nursery Rhymes",hardcover,"Childrens, Classics, Childrens, Picture Books, Fiction, Animals",608727,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1345804904l/608727.jpg,9780723247876.0,mrs tiggy winkle beatrix potters series story miss moppet appley dapplys nursery rhymes cecily parsleys tailor two bad mice pie patty pan pickles lives difficult indeed customers loved mr jeremy fisher little books number fierce rabbit ginger cat kept tale pay less keen flopsy bunnies johnny town mouse buy squirrel nutkin pig robinson gloucester pigling bland samuel whiskers terrier tom kitten credit making poor tittlemouse ran popular shop peter tod provisions jemima puddle duck timmy tiptoes follows titles gret deal benjamin bunny,"1,513 ratings",58.0,3.8,The Tale of Ginger and Pickles,,
,H.G. Wells,,hgwells classics fiction feminism romance europeanliterature britishliterature quickly falls truly free make father forbids student london determined choice soon finds fresh start family home married academic suffragettes — meets fascinating description attending one womans sexual awakening price fashionable ball search world twenty passionate independence live headstrong ann veronica stanley life decides place freedom comes optimistic depiction intellectuals socialists love leave imperial college biology brilliant capes womens suffrage movement offers,"Twenty-one, passionate and headstrong, Ann Veronica Stanley is determined to live her own life. When her father forbids her attending a fashionable ball, she decides she has no choice but to leave her family home and make a fresh start in London. There, she finds a world of intellectuals, socialists and suffragettes — a place where, as a student in biology at Imperial College, she can be truly free. But when she meets the brilliant Capes, a married academic, and quickly falls in love, she soon finds that freedom comes at a price.  A fascinating description of the women's suffrage movement, Ann Veronica offers an optimistic depiction of one woman's sexual awakening and search for independence.",paperback,"Classics, Fiction, Feminism, Romance, European Literature, British Literature",283860,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1311647673l/283860.jpg,9780141441092.0,quickly falls truly free make father forbids student london determined choice soon finds fresh start family home married academic suffragettes — meets fascinating description attending one womans sexual awakening price fashionable ball search world twenty passionate independence live headstrong ann veronica stanley life decides place freedom comes optimistic depiction intellectuals socialists love leave imperial college biology brilliant capes womens suffrage movement offers,932 ratings,352.0,3.56,Ann Veronica,,
,Knut Hamsun,,knuthamsun fiction classics novels europeanliterature scandinavianliterature quest wanderer plays later two score years passionate ironic yet deeply humane master find pianos knut closely related novels daughters continually frustrated wandering round relation due course helplessly infatuated eventually finds muted strings explains whose wife age conveys hamsuns finest works susceptibility woman grindhusen workmen six older lars end hopes city original prose styles something autumn star norwegian countryside work unsimple character sense gunnvor stallybrass powers lyrical modern literature brilliantly translated falkenberg dubious talents include successive employers joins forces first oliver ten among tuning man blessed reaches futile pursuit turn search estate consists sucked back laid faith aging one attain least narrator pedersen real name sequels qualities simple life love height certain captain wives acclaimed poignancy fled falls show hamsun,"The Wanderer, which consists of two closely related novels, Under the Autumn Star and On Muted Strings, has been acclaimed as one of Knut Hamsun's finest works.  The narrator, Knut Pedersen (Hamsun's real name), is an unsimple character in search of the simple life, which he hopes to attain by wandering round the Norwegian countryside doing such work as he can find. His quest is continually frustrated, not least by his susceptibility to the wives and daughters of successive employers.  In Under the Autumn Star he joins forces first with Grindhusen, a man blessed with the faith that ""something will turn up""; later with Lars Falkenberg, whose dubious talents include the tuning of pianos. Knut and Lars end up as workmen on the estate of a certain Captain Falkenberg (no relation), with whose wife each falls in love. In due course, Knut is laid off and, in futile pursuit of the woman with whom by now he is helplessly infatuated, eventually finds himself sucked back into the city he once fled.  ""A wanderer plays on muted strings,"" explains Knut, now six years older, ""when he reaches the age of two score years and ten."" Among this sequel's qualities is the poignancy with which it conveys that sense of aging.  Both novels show Hamsun at the height of his powers: lyrical and passionate, ironic yet deeply humane, master of one of the most original prose styles in modern literature, brilliantly translated here by Oliver and Gunnvor Stallybrass.",paperback,"Fiction, Classics, Novels, European Literature, Scandinavian Literature",32589,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348757793l/32589.jpg,9780285647879.0,quest wanderer plays later two score years passionate ironic yet deeply humane master find pianos knut closely related novels daughters continually frustrated wandering round relation due course helplessly infatuated eventually finds muted strings explains whose wife age conveys hamsuns finest works susceptibility woman grindhusen workmen six older lars end hopes city original prose styles something autumn star norwegian countryside work unsimple character sense gunnvor stallybrass powers lyrical modern literature brilliantly translated falkenberg dubious talents include successive employers joins forces first oliver ten among tuning man blessed reaches futile pursuit turn search estate consists sucked back laid faith aging one attain least narrator pedersen real name sequels qualities simple life love height certain captain wives acclaimed poignancy fled falls show hamsun,985 ratings,164.0,3.95,The Wanderer,,
,Florence Louisa Barclay,,florencelouisabarclay classics romance fiction known receive mutual friend honorable jane champion go visit rosary know wants loves plain blinded gets receives news help trust doctor presumed name nurse back thereby alas pity position beauty decides great lover love beautiful story gareth dalmain falls new hunting accident,"""The Rosary"" is a beautiful love story. Gareth Dalmain falls in love with the Honorable Jane Champion. She loves him back, but does not trust his love, as is known to be a great lover of beauty, and she - alas - is very plain. Just as she decides to trust him, she receives news that he has been blinded in a hunting accident. She wants to go visit him, but he will not receive her, as he wants only her love - not her pity. With the help of their mutual friend and doctor, she gets the position as his nurse under a presumed name, and thereby gets to know the 'new' Gareth.",hardcover,"Classics, Romance, Fiction",1420762,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348683580l/1420762.jpg,9781432617424.0,known receive mutual friend honorable jane champion go visit rosary know wants loves plain blinded gets receives news help trust doctor presumed name nurse back thereby alas pity position beauty decides great lover love beautiful story gareth dalmain falls new hunting accident,"1,020 ratings",380.0,3.98,The Rosary,,
,William Hope Hodgson,,williamhopehodgson horror fiction classics adventure pirates fantasy fantasy weirdfiction paranormal ghosts incidents suggestive spirits unknown fate powerful account besiege maritime knowledge terrible sea devils command times reaches enviable peaks haunted ship doomed finally drag ghost pirates nature clever selection book last voyage perhaps latent horrors quasi human aspect bygone buccaneers power h p lovecraft hints,"""The Ghost Pirates . . . is a powerful account of a doomed and haunted ship on its last voyage, and of the terrible sea-devils (of quasi-human aspect, and perhaps the spirits of bygone buccaneers) that besiege it and finally drag it down to an unknown fate. With its command of maritime knowledge, and its clever selection of hints and incidents suggestive of latent horrors in nature, this book at times reaches enviable peaks of power."" -- H.P. Lovecraft",paperback,"Horror, Fiction, Classics, Adventure, Pirates, Fantasy, Fantasy, Weird Fiction, Paranormal, Ghosts",634043,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1328014883l/634043.jpg,9781421925813.0,incidents suggestive spirits unknown fate powerful account besiege maritime knowledge terrible sea devils command times reaches enviable peaks haunted ship doomed finally drag ghost pirates nature clever selection book last voyage perhaps latent horrors quasi human aspect bygone buccaneers power h p lovecraft hints,864 ratings,176.0,3.58,The Ghost Pirates,,
,John Muir,,johnmuir nonfiction environment nature adventure animals biography travel huge glacier illustrations extraordinary true tale actually happened explore dog precarious ice bridge dangerous blizzard stickeen become stranded rapturous adoration amazingly way man memorable words famous naturalist john muir escape stickeens aloofness replaced became called classic fellow traveler insisted result alaska author skillfully weaves muirs going along aloof little belonging almost impossible wild days one day set,"This true tale actually happened in Alaska to the famous naturalist, John Muir, and it became what he called the most memorable of all his wild days. One day, Muir set out to explore a huge glacier during a blizzard. Stickeen--an aloof little dog belonging to a fellow traveler--insisted on going along. They become stranded on the glacier. The only way out was over a precarious ice bridge, dangerous for a man and almost impossible for a dog. When, amazingly, they both escape, Stickeen's aloofness is replaced by rapturous adoration for Muir. The author skillfully weaves Muir's own words, the illustrations are extraordinary, and the result is a classic.",paperback,"Nonfiction, Environment, Nature, Adventure, Animals, Biography, Travel",238718,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1347417134l/238718.jpg,9781883220785.0,huge glacier illustrations extraordinary true tale actually happened explore dog precarious ice bridge dangerous blizzard stickeen become stranded rapturous adoration amazingly way man memorable words famous naturalist john muir escape stickeens aloofness replaced became called classic fellow traveler insisted result alaska author skillfully weaves muirs going along aloof little belonging almost impossible wild days one day set,929 ratings,32.0,4.29,Stickeen: John Muir and the Brave Little Dog,,
,Joseph Conrad,,josephconrad fiction shortstories classics literature gripping tales tested collection crime crisis ordinary people find disaster extraordinary circums,"This is a collection of gripping tales of crime, crisis or disaster, in which ordinary people find themselves tested in extraordinary circums",,"Fiction, Short Stories, Classics, Literature",513574,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1175429751l/513574.jpg,9780753807224.0,gripping tales tested collection crime crisis ordinary people find disaster extraordinary circums,843 ratings,,3.7,The Secret Sharer and other stories,,
,V.D. Savarkar,,vdsavarkar literature marathi history cultural india barefooted undernourished british bullets footsteps ban indian masses england revolutionaries india sheer force almost unarmed common folks challenging published government due uprising smuggled holy book became proscribed step ruthless empire tracing holland banned account power,"This book is a step by step account of the uprising of the Indian masses against the ruthless British empire. Tracing the footsteps of the barefooted, undernourished and almost unarmed Indian common folks challenging the British bullets with sheer force of will power. This book became the holy book for Indian revolutionaries and so was proscribed or banned by the British government. Due to the ban the book was smuggled in India and England after it was published in Holland.",,"Literature, Marathi, History, Cultural, India",3249668,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1372254955l/3249668.jpg,,barefooted undernourished british bullets footsteps ban indian masses england revolutionaries india sheer force almost unarmed common folks challenging published government due uprising smuggled holy book became proscribed step ruthless empire tracing holland banned account power,286 ratings,,4.29,1857 - The First War of Independence १८५७ चे स्वातंत्र्यसमर,,
,Thomas Mann,,thomasmann fiction europeanliterature germanliterature classics cultural germany literature deutscher prinz trifft amerikanische milliardärstochter diesem roman zeigt sich thomas mann von einer heiteren seite und schafft trotzdem ein ernsthaftes sinnbild für die aufbrechende,Deutscher Prinz trifft amerikanische Milliardärstochter. In diesem Roman zeigt sich Thomas Mann von einer heiteren Seite und schafft trotzdem ein ernsthaftes Sinnbild für die aufbrechende M,paperback,"Fiction, European Literature, German Literature, Classics, Cultural, Germany, Literature",1132604,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1181250028l/1132604.jpg,9783596294305.0,deutscher prinz trifft amerikanische milliardärstochter diesem roman zeigt sich thomas mann von einer heiteren seite und schafft trotzdem ein ernsthaftes sinnbild für die aufbrechende,588 ratings,359.0,3.62,Königliche Hoheit,,
,Ambrose Bierce,,ambrosebierce shortstories fiction classics horror war literature affair story horseman boarded window hanging night doings dog city occurrence finest stories including moxon ’ coulter outposts life soldiers conscience one kind hilariously horrific oil pancho villa celebrated civil war fictions ‘ tale curried cow short fiction resaca sky coup de grâce parker adderson philosopher master favorite murder back cover table bottomless grave jupiter doke brigadier general midst chickamauga major owl creek bridge never seen ghosts present ways damned thing haïta deadman revolutionary forces ambrose bierce rode parenticide club officer unreal gods questing antepenultimata battle leaders tough tussle nose missing killed reading man opinionator revolt notch dictionary contents introduction suggestions explanatory notes glossary snake text shepherd note mocking bird civilians new collection gathers dead moxons resumed identity remarkable body mexico thedevil bivouac son macabre masterpieces things military terms sites negligible tales wireless message soldier folk three gone away realm controversialist left behind,"Questing after Pancho Villa’s revolutionary forces, Ambrose Bierce rode into Mexico in 1913 and was never seen again. He left behind him theDevil’s Dictionary and a remarkable body of short fiction. This new collection gathers some of Bierce’s finest stories, including the celebrated Civil War fictions ‘An Occurrence at Owl Creek Bridge‘ and ‘Chickamauga‘, his macabre masterpieces ""The Damned Thing"" and ""Moxon's Master"", and his hilariously horrific ""Oil of Dog"" and ""My Favorite Murder"". --back cover  TABLE OF CONTENTS Introduction Suggestions for Further Reading A Note on the Text From In the Midst of Life Soldiers: A Horseman in the Sky An Occurrence at Owl Creek Bridge Chickamauga A Son of the Gods One of the Missing Killed at Resaca The Affair at Coulter’s Notch The Coup de Grâce Parker Adderson, Philosopher An Affair of Outposts The Story of a Conscience One Kind of Officer The Mocking-Bird  Civilians: The Man Out of the Nose The Man and the Snake The Boarded Window From Can Such Things Be? Can Such Things Be?: Moxon’s Master A Tough Tussle A Resumed Identity The Night-Doings at “Deadman’s” The Realm of the Unreal The Damned Thing Haïta the Shepherd  The Ways of Ghosts: Present at a Hanging A Wireless Message  Soldier Folk: Three and One Are One From Negligible Tales Negligible Tales: A Bottomless Grave Jupiter Doke, Brigadier-General The City of the Gone Away The Major’s Tale Curried Cow A Revolt of the Gods  The Parenticide Club: My Favorite Murder Oil of Dog From Antepenultimata A Bivouac of the Dead From The Opinionator The Controversialist: The Short Story  Explanatory Notes Glossary of Military Terms Battle Sites and Battle Leaders",paperback,"Short Stories, Fiction, Classics, Horror, War, Literature",1084577,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348705100l/1084577.jpg,9780140437560.0,affair story horseman boarded window hanging night doings dog city occurrence finest stories including moxon ’ coulter outposts life soldiers conscience one kind hilariously horrific oil pancho villa celebrated civil war fictions ‘ tale curried cow short fiction resaca sky coup de grâce parker adderson philosopher master favorite murder back cover table bottomless grave jupiter doke brigadier general midst chickamauga major owl creek bridge never seen ghosts present ways damned thing haïta deadman revolutionary forces ambrose bierce rode parenticide club officer unreal gods questing antepenultimata battle leaders tough tussle nose missing killed reading man opinionator revolt notch dictionary contents introduction suggestions explanatory notes glossary snake text shepherd note mocking bird civilians new collection gathers dead moxons resumed identity remarkable body mexico thedevil bivouac son macabre masterpieces things military terms sites negligible tales wireless message soldier folk three gone away realm controversialist left behind,489 ratings,304.0,3.97,Tales of Soldiers and Civilians and Other Stories,,
,Marcia Davenport,,marciadavenport biography music nonfiction history biographymemoir l man positively brilliant music th century composer back ground created mozart realistic moving engrossing first american biography,"Realistic, moving, engrossing and positively brilliant, this first American biography of the 18th century composer re-created Mozart--the man and his music--against the back ground of the he l",paperback,"Biography, Music, Nonfiction, History, Biography Memoir",183266,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1266490771l/183266.jpg,9781566198332.0,l man positively brilliant music th century composer back ground created mozart realistic moving engrossing first american biography,712 ratings,400.0,3.84,Mozart,,
,Mark Twain,,marktwain classics fiction humor shortstories literature fantasy literature american captain stormfields wake last published work universe paradise talk grand scheme discovery produced two years fact cloud strumming reflect view sailors jargon twain recently deceased stormfield earth merchant marine describes reveal next world sitting afterlife seems day turns point insufferably boring outnumber whites plot begun extract originally planned folksy narration peppered six chapter book known really like beginning insignificance eternally youthful also native americans importance things th century outer space feelings told main character huge expanse species north american district twains witty vision actual sea become inadequate humorous new scientific awareness awesome cosmos trouble finding someone confronts us shipped amiable altogether average white anglo saxon male characteristics astronomy outlandish dimensions publication heaven utterly explode every human conception follow insipid teenagers mark harp inspired series amusingly disconcerting revelations finds mixing well pretensions dream crowd traditional religious concepts place funny satirical spoof drawbacks,"Twain's witty vision of what heaven ""is really like"" is told from the point of view of the recently deceased Captain Stormfield. In a folksy narration peppered with sailor's jargon, the amiable, altogether down-to-earth merchant marine describes a series of amusingly disconcerting revelations about the next world.   Sitting on a cloud strumming a harp all day turns out to be insufferably boring; being eternally youthful also has its drawbacks when the captain finds himself not mixing well with a crowd of insipid teenagers; and Native Americans so outnumber whites in the North American district of Paradise that the average white Anglo-Saxon male has trouble finding someone to talk to. In fact the outlandish dimensions and characteristics of heaven utterly explode every human conception.   This funny, satirical spoof on human pretensions about the importance of our species in the grand scheme of things was the last published work by Mark Twain. The main character and plot were inspired by the dream of an actual sea captain whom Twain had known. Published at the beginning of the 20th century, when astronomy had just begun to reveal the huge expanse of outer space and traditional religious concepts of our place in the universe had become inadequate, Twain's humorous vision of the afterlife seems to reflect the new scientific awareness of the awesome cosmos that confronts us and the feelings of insignificance that this discovery produced.  Two years after publication of this ""extract,"" originally planned as a six-chapter book, Twain himself shipped off to follow in Captain Stormfield's wake.",paperback,"Classics, Fiction, Humor, Short Stories, Literature, Fantasy, Literature, American",453751,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1365462955l/453751.jpg,9781591020240.0,captain stormfields wake last published work universe paradise talk grand scheme discovery produced two years fact cloud strumming reflect view sailors jargon twain recently deceased stormfield earth merchant marine describes reveal next world sitting afterlife seems day turns point insufferably boring outnumber whites plot begun extract originally planned folksy narration peppered six chapter book known really like beginning insignificance eternally youthful also native americans importance things th century outer space feelings told main character huge expanse species north american district twains witty vision actual sea become inadequate humorous new scientific awareness awesome cosmos trouble finding someone confronts us shipped amiable altogether average white anglo saxon male characteristics astronomy outlandish dimensions publication heaven utterly explode every human conception follow insipid teenagers mark harp inspired series amusingly disconcerting revelations finds mixing well pretensions dream crowd traditional religious concepts place funny satirical spoof drawbacks,569 ratings,153.0,3.87,Extract from Captain Stormfield's Visit to Heaven,,
,Arnold Bennett,,arnoldbennett nonfiction classics writing booksaboutbooks writing essays literature criticism literarycriticism great grandfathers opportunity first years old wives tale theme detailed instructions literary work popular better modern times man essentially pointed rage journalist benefit produced many self improvement books st century probably much good often knowledge collecting still worth complete library study remember widely read ordinary working class people era english literarure came respected authors successful publication way th clayhanger trilogy book britain seem rather quaint generation value started bearing form mind card category appeared heyday free education sought one arnold bennett power taste time sub title famous works included,"Arnold Bennett is probably not widely read in the 21st century, but in his heyday during the first 30 years of the 20th century he was one of the most popular and most respected authors in Britain, and his most famous works included The Old Wives' Tale, the Clayhanger Trilogy, and The Card. He was essentially a literary man, but he started out as a journalist and in his time he produced many self-improvement books such as were all the rage as more and more ordinary working-class people (having started to benefit from free education) sought the opportunity to better themselves in an era when the theme was often 'knowledge is power"". Literary Taste, which has a sub-title ""how to form it, with detailed instructions for collecting a complete library of English Literarure"", came into that category, and was a very successful publication. More than 100 years after it first appeared (in 1909) it will seem rather quaint, but there is much of value in it, and, bearing in mind that much good and great literary work has been produced in modern times, it is still worth a study. Remember it is a book that pointed the way for the generation of our grandfathers and great-grandfathers!",paperback,"Nonfiction, Classics, Writing, Books About Books, Writing, Essays, Literature, Criticism, Literary Criticism",1458550,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1183830330l/1458550._SY475_.jpg,9781406927030.0,great grandfathers opportunity first years old wives tale theme detailed instructions literary work popular better modern times man essentially pointed rage journalist benefit produced many self improvement books st century probably much good often knowledge collecting still worth complete library study remember widely read ordinary working class people era english literarure came respected authors successful publication way th clayhanger trilogy book britain seem rather quaint generation value started bearing form mind card category appeared heyday free education sought one arnold bennett power taste time sub title famous works included,234 ratings,60.0,3.65,Literary Taste,,
,P.G. Wodehouse,,pgwodehouse humor fiction humor comedy classics print culturally important part curated reading experience books may conducted attempt made best efforts believe quality assurance occasional errors imperfections introduced work book back elected digitization process though remove continuing commitment pre historical reproduction bring impede preservation printed works worldwide,This is a pre-1923 historical reproduction that was curated for quality. Quality assurance was conducted on each of these books in an attempt to remove books with imperfections introduced by the digitization process. Though we have made best efforts - the books may have occasional errors that do not impede the reading experience. We believe this work is culturally important and have elected to bring the book back into print as part of our continuing commitment to the preservation of printed works worldwide.,paperback,"Humor, Fiction, Humor, Comedy, Classics",971687,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348262029l/971687.jpg,9781434604880.0,print culturally important part curated reading experience books may conducted attempt made best efforts believe quality assurance occasional errors imperfections introduced work book back elected digitization process though remove continuing commitment pre historical reproduction bring impede preservation printed works worldwide,370 ratings,78.0,3.25,"The Swoop!, or How Clarence Saved England: A Tale of the Great Invasion",,
