titles,authors,ratings,num_ratings,id,img,description,genre,format,page,isbn,au_ge,key_words,bow
Strait is the Gate,André Gide,3.60,"3,415 ratings",469406,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1347378560l/469406.jpg,"A delicate boy growing up in Paris, Jerome Palissier spends many summers at his uncle's house in the Normandy countryside, where the whole world seems 'steeped in azure'. There he falls deeply in love with his cousin Alissa and she with him. But gradually Alissa becomes convinced that Jerome's love for her is endangering his soul. In the interests of his salvation, she decides to suppress everything that is beautiful in herself - in both mind and body.","Fiction, Cultural, France, Classics, European Literature, French Literature",paperback,104.0,9781595690623.0,andrégide fiction cultural france classics europeanliterature frenchliterature,soul endangering azure jeromes love whole world seems steeped suppress everything paris jerome palissier spends many summers uncles house cousin alissa delicate boy growing mind gradually becomes convinced beautiful falls deeply interests decides normandy countryside body salvation,andrégide fiction cultural france classics europeanliterature frenchliterature soul endangering azure jeromes love whole world seems steeped suppress everything paris jerome palissier spends many summers uncles house cousin alissa delicate boy growing mind gradually becomes convinced beautiful falls deeply interests decides normandy countryside body salvation
The Complete Poetry,John Milton,4.06,"3,872 ratings",16802,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1386926249l/16802.jpg,"The first complete annotated edition of Milton's poetry available in a one-volume paperback. The text is established from original sources, with collations of all known manuscripts, chronology and verbal variants recorded. Works in Latin, Greek and Italian are included with new literal transl","Poetry, Classics, Fiction, Literature",paperback,672.0,9780385023511.0,johnmilton poetry classics fiction literature,text established included new literal transl collations known manuscripts chronology latin greek miltons poetry available original sources first complete annotated edition one volume paperback verbal variants recorded works italian,johnmilton poetry classics fiction literature text established included new literal transl collations known manuscripts chronology latin greek miltons poetry available original sources first complete annotated edition one volume paperback verbal variants recorded works italian
The Ball and the Cross,G.K. Chesterton,4.03,"2,006 ratings",259052,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1389339798l/259052.jpg,"Like much of G. K. Chesterton's fiction, The Ball and the Cross is both witty and profound, cloaking serious religious and philosophical inquiry in sparkling humor and whimsy. Serialized in the British publication The Commonwealth in 1905-06, Chesterton's second novel first appeared in book form in America in 1909, delighting and challenging readers with its heady mixture of fantasy, farce, and theology. The plot of The Ball and the Cross chronicles a hot dispute between two Scotsmen, one a devout but naive Roman Catholic, the other a zealous but naive atheist. Their fanatically held opinions—leading to a duel that is proposed but never fought—inspire a host of comic adventures whose allegorical levels vigorously explore the debate between theism and atheism. Martin Gardner's superb introduction to The Ball and the Cross reveals the real-life debate between Chesterton and a famous atheist that provided inspiration for the story, and it explores some of the novel's possible allegorical meanings. Appraising the book's many intriguing philosophical qualities, Mr. Gardner alerts readers as well to the pleasures of its ""colorful style . . . amusing puns and clever paradoxes . . . and the humor and melodrama of its crazy plot.""","Fiction, Philosophy, Classics, Christian, Religion",paperback,208.0,9780486288055.0,gkchesterton fiction philosophy classics christian religion,naive roman catholic comic adventures whose allegorical levels vigorously explore fanatically held opinions — leading ball whimsy serialized story novels possible meanings appraising crazy plot challenging readers humor fantasy farce like much explores proposed atheist book form never fought inspire pleasures colorful style amusing puns profound cloaking serious religious host sparkling philosophical inquiry british publication devout zealous hot dispute delighting chestertons second novel first appeared theism cross chronicles commonwealth reveals famous provided inspiration witty two scotsmen one melodrama chesterton g k fiction heady mixture theology duel well america real life debate books many intriguing qualities mr gardner alerts clever paradoxes atheism martin gardners superb introduction,gkchesterton fiction philosophy classics christian religion naive roman catholic comic adventures whose allegorical levels vigorously explore fanatically held opinions — leading ball whimsy serialized story novels possible meanings appraising crazy plot challenging readers humor fantasy farce like much explores proposed atheist book form never fought inspire pleasures colorful style amusing puns profound cloaking serious religious host sparkling philosophical inquiry british publication devout zealous hot dispute delighting chestertons second novel first appeared theism cross chronicles commonwealth reveals famous provided inspiration witty two scotsmen one melodrama chesterton g k fiction heady mixture theology duel well america real life debate books many intriguing qualities mr gardner alerts clever paradoxes atheism martin gardners superb introduction
Chłopi,Władysław Stanisław Reymont,3.16,"2,781 ratings",1841723,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1189074060l/1841723.jpg,"Each of the four parts represents a season in the life of the peasants — Autumn (published in 1904), Winter (published in 1904), Spring (published in 1906), and Summer (published in 1909). This division underlines the relationship of human life with nature.  Reymont decided to write about peasant life because of historical events, which took place in Polish villages in the early 20th century. The fact that the author was brought up in a village has a significant influence on the novel’s plot.  In Chłopi, Reymont created a more complete and suggestive picture of country life than any other Polish writer. The novel impresses the reader with its authenticity of the material reality, customs, behaviour and spiritual culture of the people. The composition of the novel astonishes the reader with its strict simplicity and functionality. The titles of the various volumes signal a tetralogy in one vegetational cycle, which regulates the eternal and repeatable rhythm of village life. Parallel to that rhythm is a calendar of religion and customs, also repeatable. In such boundaries Reymont placed a colourful country community with sharply drawn individual portraits. The repertoire of human experience and the richness of spiritual life, which can be compared with the repertoire of Biblical books and Greek myths, has no doctrinal ideas or didactic exemplifications. The author of Chłopi does not believe in doctrines, but rather in his own knowledge of life, the mentality of the people described, and his sense of reality.","European Literature, Polish Literature, Classics, Fiction, Academic, School",hardcover,616.0,,władysławstanisławreymont europeanliterature polishliterature classics fiction academic school,repeatable rhythm suggestive picture reality peasants — autumn published material customs behaviour spiritual culture composition calendar richness doctrines fact authenticity knowledge four parts represents didactic exemplifications write village doctrinal ideas eternal colourful country community believe people tetralogy strict simplicity polish villages plot mentality early th century historical events rather life parallel reader winter spring took place various volumes signal repertoire described sense functionality boundaries reymont placed chłopi novel astonishes biblical books relationship human division underlines significant influence peasant regulates greek myths complete nature decided created compared impresses writer summer season brought experience religion one vegetational cycle titles also ’ author sharply drawn individual portraits,władysławstanisławreymont europeanliterature polishliterature classics fiction academic school repeatable rhythm suggestive picture reality peasants — autumn published material customs behaviour spiritual culture composition calendar richness doctrines fact authenticity knowledge four parts represents didactic exemplifications write village doctrinal ideas eternal colourful country community believe people tetralogy strict simplicity polish villages plot mentality early th century historical events rather life parallel reader winter spring took place various volumes signal repertoire described sense functionality boundaries reymont placed chłopi novel astonishes biblical books relationship human division underlines significant influence peasant regulates greek myths complete nature decided created compared impresses writer summer season brought experience religion one vegetational cycle titles also ’ author sharply drawn individual portraits
"Mike and Psmith (Psmith, #1)",P.G. Wodehouse,4.04,"2,100 ratings",953232,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348073756l/953232.jpg,"An early Wodehouse novel, this is both a sporting story and a tale of friendship between two boys at boarding school. Mike (introduced in Mike at Wrykyn) is a seriously good cricketer who forms an unlikely alliance with old Etonian Psmith ('the P is silent') after they both find themselves fish out of water at a new school, Sedleigh. Full of entertainment, the plot reaches a satisfying conclusion as the pair eventually overcome the hostility of others and their own prejudices to become stars. Even readers uninterested in cricket are likely to be gripped by descriptions of matches, but the real meat of the book is to be found in the characters, especially the elegant Psmith, one of Wodehouse's immortal creations, who features in three of his later novels.","Fiction, Humor, Classics, Humor, Comedy",paperback,244.0,9781421833903.0,pgwodehouse fiction humor classics humor comedy,find later novels likely characters especially fish real meat found prejudices three entertainment features tale friendship pair eventually overcome old etonian psmith early wodehouse novel p satisfying conclusion wrykyn book gripped descriptions boarding school mike introduced sporting story plot reaches matches water silent wodehouses immortal creations become stars even readers uninterested two boys seriously good cricketer cricket unlikely alliance new sedleigh full forms others elegant one hostility,pgwodehouse fiction humor classics humor comedy find later novels likely characters especially fish real meat found prejudices three entertainment features tale friendship pair eventually overcome old etonian psmith early wodehouse novel p satisfying conclusion wrykyn book gripped descriptions boarding school mike introduced sporting story plot reaches matches water silent wodehouses immortal creations become stars even readers uninterested two boys seriously good cricketer cricket unlikely alliance new sedleigh full forms others elegant one hostility
The Great Apostasy,James E. Talmage,4.27,"1,902 ratings",1102987,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1418843306l/1102987.jpg,James E. Talmage's thorough discussion of the significance of the great apostasy as a condition for the reestablishment of the Church in modern times. A summary of the most important evidences of the decline and final extinction of the primitive church. Helpful for missionaries and investigators. Offers a clear understanding of the apostasy and the restoration of the priesthood.,"Religion, Christianity, Lds, History, Religion, Church, Nonfiction, Lds, Mormonism, Historical, Spirituality, Religion, Christianity, Lds, Lds Non Fiction",,176.0,9780875798431.0,jamesetalmage religion christianity lds history religion church nonfiction lds mormonism historical spirituality religion christianity lds ldsnonfiction,decline condition significance priesthood investigators offers great apostasy clear understanding important evidences restoration james e talmages thorough discussion summary missionaries modern times final extinction reestablishment primitive church helpful,jamesetalmage religion christianity lds history religion church nonfiction lds mormonism historical spirituality religion christianity lds ldsnonfiction decline condition significance priesthood investigators offers great apostasy clear understanding important evidences restoration james e talmages thorough discussion summary missionaries modern times final extinction reestablishment primitive church helpful
L'aiguille creuse,Maurice Leblanc,3.94,"1,962 ratings",141213,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1333605949l/141213.jpg,"Arsène Lupin est mort ! En tout cas, c'est ce que tout le monde a l'air de croire : lors d'un cambriolage nocturne au château d'Ambrumésy, Mlle de Saint-Véran tire sur un rôdeur mais son cadavre reste introuvable. Quelques jours plus tard, la jeune femme est enlevée et son corps est retrouvé inanimé, à côté de celui d'Arsène Lupin. Comme par hasard, le document renfermant le secret de l'Aiguille creuse disparaît en même temps... Isidore Beautrelet, lui, ne croit ni à ces faits qui s'enchaînent trop facilement ni à la mort du gentleman-cambrioleur. Il décide donc d'enquêter...","Mystery, Classics, Fiction, Cultural, France, Mystery, Crime, European Literature, French Literature, Adventure, Mystery, Detective, Novels, Roman",mass market paperback,192.0,9782253001416.0,mauriceleblanc mystery classics fiction cultural france mystery crime europeanliterature frenchliterature adventure mystery detective novels roman,arsène lupin est mort en tout cas cest ce que le monde lair de croire lors dun cambriolage nocturne au château dambrumésy mlle saint véran tire sur un rôdeur mais son cadavre reste introuvable quelques jours plus tard la jeune femme enlevée et corps retrouvé inanimé à côté celui darsène comme par hasard document renfermant secret laiguille creuse disparaît même temps isidore beautrelet lui ne croit ni ces faits qui senchaînent trop facilement du gentleman cambrioleur il décide donc denquêter,mauriceleblanc mystery classics fiction cultural france mystery crime europeanliterature frenchliterature adventure mystery detective novels roman arsène lupin est mort en tout cas cest ce que le monde lair de croire lors dun cambriolage nocturne au château dambrumésy mlle saint véran tire sur un rôdeur mais son cadavre reste introuvable quelques jours plus tard la jeune femme enlevée et corps retrouvé inanimé à côté celui darsène comme par hasard document renfermant secret laiguille creuse disparaît même temps isidore beautrelet lui ne croit ni ces faits qui senchaînent trop facilement du gentleman cambrioleur il décide donc denquêter
The Last Trail,Zane Grey,3.86,"1,855 ratings",121178,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348777708l/121178.jpg,This is a pre-1923 historical reproduction that was curated for quality. Quality assurance was conducted on each of these books in an attempt to remove books with imperfections introduced by the digitization process. Though we have made best efforts - the books may have occasional errors that do not impede the reading experience. We believe this work is culturally important and have elected to bring the book back into print as part of our continuing commitment to the preservation of printed works worldwide.,"Westerns, Fiction, Classics, Historical, Historical Fiction",paperback,212.0,9781426438011.0,zanegrey westerns fiction classics historical historicalfiction,print culturally important part curated reading experience books may conducted attempt made best efforts believe quality assurance occasional errors imperfections introduced work book back elected digitization process though remove continuing commitment pre historical reproduction bring impede preservation printed works worldwide,zanegrey westerns fiction classics historical historicalfiction print culturally important part curated reading experience books may conducted attempt made best efforts believe quality assurance occasional errors imperfections introduced work book back elected digitization process though remove continuing commitment pre historical reproduction bring impede preservation printed works worldwide
The Other Side,Alfred Kubin,3.84,"1,128 ratings",847735,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1328495092l/847735.jpg,"The Other Side tells of a dream kingdom which becomes a nightmare, of a journey to Perle, a mysterious city created deep in Asia, which is also a journey to the depths of the subconscious. Or as Kubin himself called it, 'a sort of Baedeker for those lands which are half known to us'.  Alfred Kubin (1877-1959) was one of the major graphic artists of the 20th century who was widely known for his illustrations of writers of the fantastic such as Balzac, E.T.A. Hoffmann, Gustav Meyrink and Edgar Allan Poe. In his combination of the darkly decadent, the fantastic and the grotesque, in his evocations of dream and nightmare, his creation of an atmosphere of mystery and fear he resembles Mervyn Peake.","Fantasy, Fiction, Horror, European Literature, German Literature, Fantasy, Weird Fiction",paperback,320.0,9781873982693.0,alfredkubin fantasy fiction horror europeanliterature germanliterature fantasy weirdfiction,sort subconscious kubin us alfred atmosphere side tells combination illustrations major graphic artists widely known becomes fantastic evocations journey mysterious city created deep grotesque also th century writers creation asia perle depths edgar allan poe called lands nightmare resembles mervyn peake mystery baedeker hoffmann gustav meyrink darkly decadent balzac e dream kingdom one fear half,alfredkubin fantasy fiction horror europeanliterature germanliterature fantasy weirdfiction sort subconscious kubin us alfred atmosphere side tells combination illustrations major graphic artists widely known becomes fantastic evocations journey mysterious city created deep grotesque also th century writers creation asia perle depths edgar allan poe called lands nightmare resembles mervyn peake mystery baedeker hoffmann gustav meyrink darkly decadent balzac e dream kingdom one fear half
Gunnar's Daughter,Sigrid Undset,4.18,985 ratings,6226,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1386924494l/6226.jpg,"Set in Norway and Iceland at the beginning of the eleventh century, this is the story of the beautiful, spoiled Vigdis Gunnarsdatter, who is casually raped by the man she had wanted to love. A woman of courage and intelligence, Vigdis is toughened by adversity. Alone she raises the child conceived in violence, repeatedly defending her autonomy in a world governed by men. Alone she rebuilds her life and restores her family's honor, until an unrelenting social code propels her to take the action that again destroys her happiness. More than a historical romance, Gunnar's Daughter depicts characters driven by passion and vengefulness, themes as familiar in Undset's own time - and in ours - as they were in the Saga Age.","Historical, Historical Fiction, Fiction, Classics, European Literature, Scandinavian Literature, Literature",paperback,161.0,9780141180205.0,sigridundset historical historicalfiction fiction classics europeanliterature scandinavianliterature literature,eleventh century courage story action beautiful spoiled vigdis gunnarsdatter men alone woman set take norway iceland wanted restores intelligence violence repeatedly defending familiar world governed saga age undsets beginning historical romance gunnars daughter depicts characters driven man rebuilds adversity unrelenting social code propels casually raped passion autonomy child conceived happiness toughened destroys raises life love time vengefulness themes familys honor,sigridundset historical historicalfiction fiction classics europeanliterature scandinavianliterature literature eleventh century courage story action beautiful spoiled vigdis gunnarsdatter men alone woman set take norway iceland wanted restores intelligence violence repeatedly defending familiar world governed saga age undsets beginning historical romance gunnars daughter depicts characters driven man rebuilds adversity unrelenting social code propels casually raped passion autonomy child conceived happiness toughened destroys raises life love time vengefulness themes familys honor
The Tale of Ginger and Pickles,Beatrix Potter,3.80,"1,513 ratings",608727,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1345804904l/608727.jpg,"Ginger and Pickles (a terrier and a ginger cat) kept a very popular shop. Their customers loved to buy their provisions there, but they were less keen to pay for them and ran up a gret deal of credit, making poor Ginger and Pickles lives very difficult indeed.  The Tale of Ginger and Pickles is number 18 in Beatrix Potter's series of 23 little books, the titles of which are as follows:  1 The Tale of Peter Rabbit 2 The Tale of Squirrel Nutkin 3 The Tailor of Gloucester 4 The Tale of Benjamin Bunny 5 The Tale of Two Bad Mice 6 The Tale of Mrs. Tiggy-Winkle 7 The Tale of Mr. Jeremy Fisher 8 The Tale of Tom Kitten 9 The Tale of Jemima Puddle-Duck 10 The Tale of the Flopsy Bunnies 11 The Tale of Mrs. Tittlemouse 12 The Tale of Timmy Tiptoes 13 The Tale of Johnny Town-Mouse 14 The Tale of Mr. Tod 15 The Tale of Pigling Bland 16 The Tale of Samuel Whiskers 17 The Tale of The Pie and the Patty-Pan 18 The Tale of Ginger and Pickles 19 The Tale of Little Pig Robinson 20 The Story of a Fierce Bad Rabbit 21 The Story of Miss Moppet 22 Appley Dapply's Nursery Rhymes 23 Cecily Parsley's Nursery Rhymes","Childrens, Classics, Childrens, Picture Books, Fiction, Animals",hardcover,58.0,9780723247876.0,beatrixpotter childrens classics childrens picturebooks fiction animals,mrs tiggy winkle beatrix potters series story miss moppet appley dapplys nursery rhymes cecily parsleys tailor two bad mice pie patty pan pickles lives difficult indeed customers loved mr jeremy fisher little books number fierce rabbit ginger cat kept tale pay less keen flopsy bunnies johnny town mouse buy squirrel nutkin pig robinson gloucester pigling bland samuel whiskers terrier tom kitten credit making poor tittlemouse ran popular shop peter tod provisions jemima puddle duck timmy tiptoes follows titles gret deal benjamin bunny,beatrixpotter childrens classics childrens picturebooks fiction animals mrs tiggy winkle beatrix potters series story miss moppet appley dapplys nursery rhymes cecily parsleys tailor two bad mice pie patty pan pickles lives difficult indeed customers loved mr jeremy fisher little books number fierce rabbit ginger cat kept tale pay less keen flopsy bunnies johnny town mouse buy squirrel nutkin pig robinson gloucester pigling bland samuel whiskers terrier tom kitten credit making poor tittlemouse ran popular shop peter tod provisions jemima puddle duck timmy tiptoes follows titles gret deal benjamin bunny
Ann Veronica,H.G. Wells,3.56,932 ratings,283860,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1311647673l/283860.jpg,"Twenty-one, passionate and headstrong, Ann Veronica Stanley is determined to live her own life. When her father forbids her attending a fashionable ball, she decides she has no choice but to leave her family home and make a fresh start in London. There, she finds a world of intellectuals, socialists and suffragettes — a place where, as a student in biology at Imperial College, she can be truly free. But when she meets the brilliant Capes, a married academic, and quickly falls in love, she soon finds that freedom comes at a price.  A fascinating description of the women's suffrage movement, Ann Veronica offers an optimistic depiction of one woman's sexual awakening and search for independence.","Classics, Fiction, Feminism, Romance, European Literature, British Literature",paperback,352.0,9780141441092.0,hgwells classics fiction feminism romance europeanliterature britishliterature,quickly falls truly free make father forbids student london determined choice soon finds fresh start family home married academic suffragettes — meets fascinating description attending one womans sexual awakening price fashionable ball search world twenty passionate independence live headstrong ann veronica stanley life decides place freedom comes optimistic depiction intellectuals socialists love leave imperial college biology brilliant capes womens suffrage movement offers,hgwells classics fiction feminism romance europeanliterature britishliterature quickly falls truly free make father forbids student london determined choice soon finds fresh start family home married academic suffragettes — meets fascinating description attending one womans sexual awakening price fashionable ball search world twenty passionate independence live headstrong ann veronica stanley life decides place freedom comes optimistic depiction intellectuals socialists love leave imperial college biology brilliant capes womens suffrage movement offers
The Wanderer,Knut Hamsun,3.95,985 ratings,32589,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348757793l/32589.jpg,"The Wanderer, which consists of two closely related novels, Under the Autumn Star and On Muted Strings, has been acclaimed as one of Knut Hamsun's finest works.  The narrator, Knut Pedersen (Hamsun's real name), is an unsimple character in search of the simple life, which he hopes to attain by wandering round the Norwegian countryside doing such work as he can find. His quest is continually frustrated, not least by his susceptibility to the wives and daughters of successive employers.  In Under the Autumn Star he joins forces first with Grindhusen, a man blessed with the faith that ""something will turn up""; later with Lars Falkenberg, whose dubious talents include the tuning of pianos. Knut and Lars end up as workmen on the estate of a certain Captain Falkenberg (no relation), with whose wife each falls in love. In due course, Knut is laid off and, in futile pursuit of the woman with whom by now he is helplessly infatuated, eventually finds himself sucked back into the city he once fled.  ""A wanderer plays on muted strings,"" explains Knut, now six years older, ""when he reaches the age of two score years and ten."" Among this sequel's qualities is the poignancy with which it conveys that sense of aging.  Both novels show Hamsun at the height of his powers: lyrical and passionate, ironic yet deeply humane, master of one of the most original prose styles in modern literature, brilliantly translated here by Oliver and Gunnvor Stallybrass.","Fiction, Classics, Novels, European Literature, Scandinavian Literature",paperback,164.0,9780285647879.0,knuthamsun fiction classics novels europeanliterature scandinavianliterature,quest wanderer plays later two score years passionate ironic yet deeply humane master find pianos knut closely related novels daughters continually frustrated wandering round relation due course helplessly infatuated eventually finds muted strings explains whose wife age conveys hamsuns finest works susceptibility woman grindhusen workmen six older lars end hopes city original prose styles something autumn star norwegian countryside work unsimple character sense gunnvor stallybrass powers lyrical modern literature brilliantly translated falkenberg dubious talents include successive employers joins forces first oliver ten among tuning man blessed reaches futile pursuit turn search estate consists sucked back laid faith aging one attain least narrator pedersen real name sequels qualities simple life love height certain captain wives acclaimed poignancy fled falls show hamsun,knuthamsun fiction classics novels europeanliterature scandinavianliterature quest wanderer plays later two score years passionate ironic yet deeply humane master find pianos knut closely related novels daughters continually frustrated wandering round relation due course helplessly infatuated eventually finds muted strings explains whose wife age conveys hamsuns finest works susceptibility woman grindhusen workmen six older lars end hopes city original prose styles something autumn star norwegian countryside work unsimple character sense gunnvor stallybrass powers lyrical modern literature brilliantly translated falkenberg dubious talents include successive employers joins forces first oliver ten among tuning man blessed reaches futile pursuit turn search estate consists sucked back laid faith aging one attain least narrator pedersen real name sequels qualities simple life love height certain captain wives acclaimed poignancy fled falls show hamsun
The Rosary,Florence Louisa Barclay,3.98,"1,020 ratings",1420762,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348683580l/1420762.jpg,"""The Rosary"" is a beautiful love story. Gareth Dalmain falls in love with the Honorable Jane Champion. She loves him back, but does not trust his love, as is known to be a great lover of beauty, and she - alas - is very plain. Just as she decides to trust him, she receives news that he has been blinded in a hunting accident. She wants to go visit him, but he will not receive her, as he wants only her love - not her pity. With the help of their mutual friend and doctor, she gets the position as his nurse under a presumed name, and thereby gets to know the 'new' Gareth.","Classics, Romance, Fiction",hardcover,380.0,9781432617424.0,florencelouisabarclay classics romance fiction,known receive mutual friend honorable jane champion go visit rosary know wants loves plain blinded gets receives news help trust doctor presumed name nurse back thereby alas pity position beauty decides great lover love beautiful story gareth dalmain falls new hunting accident,florencelouisabarclay classics romance fiction known receive mutual friend honorable jane champion go visit rosary know wants loves plain blinded gets receives news help trust doctor presumed name nurse back thereby alas pity position beauty decides great lover love beautiful story gareth dalmain falls new hunting accident
The Ghost Pirates,William Hope Hodgson,3.58,864 ratings,634043,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1328014883l/634043.jpg,"""The Ghost Pirates . . . is a powerful account of a doomed and haunted ship on its last voyage, and of the terrible sea-devils (of quasi-human aspect, and perhaps the spirits of bygone buccaneers) that besiege it and finally drag it down to an unknown fate. With its command of maritime knowledge, and its clever selection of hints and incidents suggestive of latent horrors in nature, this book at times reaches enviable peaks of power."" -- H.P. Lovecraft","Horror, Fiction, Classics, Adventure, Pirates, Fantasy, Fantasy, Weird Fiction, Paranormal, Ghosts",paperback,176.0,9781421925813.0,williamhopehodgson horror fiction classics adventure pirates fantasy fantasy weirdfiction paranormal ghosts,incidents suggestive spirits unknown fate powerful account besiege maritime knowledge terrible sea devils command times reaches enviable peaks haunted ship doomed finally drag ghost pirates nature clever selection book last voyage perhaps latent horrors quasi human aspect bygone buccaneers power h p lovecraft hints,williamhopehodgson horror fiction classics adventure pirates fantasy fantasy weirdfiction paranormal ghosts incidents suggestive spirits unknown fate powerful account besiege maritime knowledge terrible sea devils command times reaches enviable peaks haunted ship doomed finally drag ghost pirates nature clever selection book last voyage perhaps latent horrors quasi human aspect bygone buccaneers power h p lovecraft hints
Stickeen: John Muir and the Brave Little Dog,John Muir,4.29,929 ratings,238718,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1347417134l/238718.jpg,"This true tale actually happened in Alaska to the famous naturalist, John Muir, and it became what he called the most memorable of all his wild days. One day, Muir set out to explore a huge glacier during a blizzard. Stickeen--an aloof little dog belonging to a fellow traveler--insisted on going along. They become stranded on the glacier. The only way out was over a precarious ice bridge, dangerous for a man and almost impossible for a dog. When, amazingly, they both escape, Stickeen's aloofness is replaced by rapturous adoration for Muir. The author skillfully weaves Muir's own words, the illustrations are extraordinary, and the result is a classic.","Nonfiction, Environment, Nature, Adventure, Animals, Biography, Travel",paperback,32.0,9781883220785.0,johnmuir nonfiction environment nature adventure animals biography travel,huge glacier illustrations extraordinary true tale actually happened explore dog precarious ice bridge dangerous blizzard stickeen become stranded rapturous adoration amazingly way man memorable words famous naturalist john muir escape stickeens aloofness replaced became called classic fellow traveler insisted result alaska author skillfully weaves muirs going along aloof little belonging almost impossible wild days one day set,johnmuir nonfiction environment nature adventure animals biography travel huge glacier illustrations extraordinary true tale actually happened explore dog precarious ice bridge dangerous blizzard stickeen become stranded rapturous adoration amazingly way man memorable words famous naturalist john muir escape stickeens aloofness replaced became called classic fellow traveler insisted result alaska author skillfully weaves muirs going along aloof little belonging almost impossible wild days one day set
The Secret Sharer and other stories,Joseph Conrad,3.70,843 ratings,513574,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1175429751l/513574.jpg,"This is a collection of gripping tales of crime, crisis or disaster, in which ordinary people find themselves tested in extraordinary circums","Fiction, Short Stories, Classics, Literature",,,9780753807224.0,josephconrad fiction shortstories classics literature,gripping tales tested collection crime crisis ordinary people find disaster extraordinary circums,josephconrad fiction shortstories classics literature gripping tales tested collection crime crisis ordinary people find disaster extraordinary circums
1857 - The First War of Independence १८५७ चे स्वातंत्र्यसमर,V.D. Savarkar,4.29,286 ratings,3249668,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1372254955l/3249668.jpg,"This book is a step by step account of the uprising of the Indian masses against the ruthless British empire. Tracing the footsteps of the barefooted, undernourished and almost unarmed Indian common folks challenging the British bullets with sheer force of will power. This book became the holy book for Indian revolutionaries and so was proscribed or banned by the British government. Due to the ban the book was smuggled in India and England after it was published in Holland.","Literature, Marathi, History, Cultural, India",,,,vdsavarkar literature marathi history cultural india,barefooted undernourished british bullets footsteps ban indian masses england revolutionaries india sheer force almost unarmed common folks challenging published government due uprising smuggled holy book became proscribed step ruthless empire tracing holland banned account power,vdsavarkar literature marathi history cultural india barefooted undernourished british bullets footsteps ban indian masses england revolutionaries india sheer force almost unarmed common folks challenging published government due uprising smuggled holy book became proscribed step ruthless empire tracing holland banned account power
Königliche Hoheit,Thomas Mann,3.62,588 ratings,1132604,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1181250028l/1132604.jpg,Deutscher Prinz trifft amerikanische Milliardärstochter. In diesem Roman zeigt sich Thomas Mann von einer heiteren Seite und schafft trotzdem ein ernsthaftes Sinnbild für die aufbrechende M,"Fiction, European Literature, German Literature, Classics, Cultural, Germany, Literature",paperback,359.0,9783596294305.0,thomasmann fiction europeanliterature germanliterature classics cultural germany literature,deutscher prinz trifft amerikanische milliardärstochter diesem roman zeigt sich thomas mann von einer heiteren seite und schafft trotzdem ein ernsthaftes sinnbild für die aufbrechende,thomasmann fiction europeanliterature germanliterature classics cultural germany literature deutscher prinz trifft amerikanische milliardärstochter diesem roman zeigt sich thomas mann von einer heiteren seite und schafft trotzdem ein ernsthaftes sinnbild für die aufbrechende
